b1px,b1py,b1pz,b1e,b2px,b2py,b2pz,b2e,a1px,a1py,a1pz,a1e,a2px,a2py,a2pz,a2e,class,weight
220.059,1.07577,0.548689,220.636,153.916,-138.459,-117.196,238.206,-307.123,91.8771,163.312,359.773,-72.7688,-19.6698,98.5229,124.052,1,2.8273e-09
242.824,144.837,308.491,418.931,-130.266,-176.093,1013.02,1036.87,9.11451,116.112,-37.4286,122.335,-26.9465,-2.24525,38.3682,46.939,1,2.8273e-09
73.8749,39.92,-100.06,130.802,67.0573,-2.91173,-40.5389,78.6128,-169.475,3.92375,-683.76,704.461,-25.2742,46.2741,-87.7972,102.413,1,2.8273e-09
61.611,-175.207,-88.3916,206.363,30.4156,-26.1233,-13.3691,42.6777,-68.6682,163.628,220.033,282.673,-9.35556,-21.9599,42.9662,49.1514,1,2.8273e-09
9.23095,-152.877,180.803,237.776,-32.633,-7.50358,-17.6824,38.1479,29.8037,146.393,105.033,182.622,22.4468,30.7834,-32.8359,50.2958,1,2.8273e-09
-44.6966,50.1223,83.5507,107.313,-18.9808,30.0406,5.02082,36.6604,54.31,-106.664,568.072,580.545,5.21588,-38.3684,26.2352,46.7721,1,2.8273e-09
-18.2697,67.5176,-22.7617,74.0003,10.369,46.0301,-24.4873,53.3017,-15.8385,-124.13,-364.931,385.79,67.5768,-31.6386,-123.242,144.07,1,2.8273e-09
141.502,-177.424,-212.618,311.827,20.0139,74.2924,-74.137,107.13,-112.386,102.637,-162.056,222.322,-52.2052,-33.0958,-33.0912,70.1123,1,2.8273e-09
-63.1164,-10.5953,173.934,185.476,-31.3625,40.8036,62.5117,81.2577,150.843,-29.5936,67.4278,167.857,7.26708,-13.8585,91.129,92.4627,1,2.8273e-09
-86.496,68.8708,-339.035,356.788,-54.4217,42.6022,-63.4932,94.0594,94.439,-154.993,-38.1676,185.468,27.2199,-41.8133,60.9312,78.7521,1,2.8273e-09
-68.7225,118.416,-311.395,340.272,-62.6013,-4.78024,-100.481,118.607,116.671,-136.898,484.336,516.657,-13.0734,-14.9349,5.28895,20.5411,1,2.8273e-09
-21.6233,68.9011,80.8002,108.581,11.0563,46.0514,61.0506,77.3945,15.9215,-58.5348,-84.1085,103.702,17.5545,-48.8169,46.6206,69.7477,1,2.8273e-09
-96.5596,-33.2401,81.2373,131.92,-45.3793,6.25387,53.6223,70.8983,179.266,28.5451,141.349,230.067,16.3072,8.65404,-24.3706,30.5735,1,2.8273e-09
45.2792,-140.979,-62.2321,160.913,29.0312,-50.2975,-55.2676,80.3779,-99.4472,184.178,110.638,236.753,23.1303,23.0058,-12.784,35.0387,1,2.8273e-09
5.49997,42.3917,22.3194,48.3735,-31.7304,24.5582,-306.08,308.723,16.2735,-86.9434,-17.3093,90.131,9.02383,19.4832,-82.1438,84.9036,1,2.8273e-09
-63.2558,-40.5577,160.254,177.51,-44.0932,-9.75964,144.288,151.25,156.226,92.2736,-190.009,262.725,15.9106,-35.6172,-30.9891,49.8202,1,2.8273e-09
49.7222,-43.8375,190.835,202.079,41.2132,-25.0463,455.875,458.496,-102.465,30.9379,-15.1839,108.106,-26.9598,86.8524,66.3731,112.586,1,2.8273e-09
-151.667,18.3146,-45.0464,160.045,51.247,48.21,-135.369,152.734,14.4713,-153.746,701.639,718.432,39.1214,4.77414,88.8448,97.194,1,2.8273e-09
72.8103,-37.6135,-114.529,141.097,38.0438,-45.9241,-62.0688,86.185,-113.624,-11.4263,117.237,163.663,-37.4905,84.4787,137.705,165.846,1,2.8273e-09
-12.7797,-37.3445,-56.1994,68.8827,-1.35496,-34.9024,-77.6158,85.1539,-34.0759,99.1377,-268.95,288.659,56.6449,5.00985,-87.5673,104.412,1,2.8273e-09
-56.4702,73.5232,326.335,339.452,-74.4622,-12.8739,426.618,433.358,135.634,-30.571,216.039,256.912,25.2648,-52.3531,11.1672,59.1935,1,2.8273e-09
-92.91,-26.8218,87.3953,130.528,22.7865,27.1735,-27.6199,45.2185,105.651,17.8534,7.0261,107.379,-14.7658,-30.7147,-35.5041,49.2134,1,2.8273e-09
88.4492,-120.566,67.4644,164.559,-40.9616,-68.7485,171.836,190.128,8.84408,123.342,36.6595,128.978,-89.9378,64.9425,89.0199,142.235,1,2.8273e-09
97.327,-29.788,146.602,178.648,42.0345,14.4186,39.4329,59.6913,-130.649,-7.62455,170.925,215.274,-43.4055,29.8705,-8.63501,53.3933,1,2.8273e-09
17.0665,-67.8575,-556.007,560.445,-11.9311,-60.9242,-296.938,303.447,-41.0501,67.3982,-111.874,136.907,2.50731,49.7743,29.1944,57.7588,1,2.8273e-09
-11.3346,38.8858,75.0048,85.4821,33.8779,11.5265,-230.406,233.252,-9.11641,-66.8312,-133.247,149.346,-39.0852,47.6034,-244.276,251.921,1,2.8273e-09
15.8509,-58.8887,50.0485,79.0503,-31.6779,-9.89596,22.581,40.3556,76.3223,6.65646,37.5352,85.3129,-39.4596,50.2334,22.8255,67.834,1,2.8273e-09
55.8042,23.8512,-45.8884,76.2,23.0346,-27.6903,44.0999,57.2145,-59.4325,76.795,185.966,209.793,-21.7728,-46.4196,74.0737,90.0875,1,2.8273e-09
21.8682,-78.5758,30.7105,87.3614,65.8453,-26.0781,41.878,82.5572,-56.8603,127.419,657.276,671.923,-15.2291,60.6191,75.5511,98.0539,1,2.8273e-09
-6.9865,-49.5956,39.5492,64.741,3.11939,-49.8499,2.81288,50.4213,8.00639,131.292,-36.7953,136.586,30.4146,-2.94147,33.5698,45.3942,1,2.8273e-09
111.924,28.5335,203.271,233.934,71.5773,33.5398,267.114,278.641,-141.461,-75.87,357.095,391.515,-94.0074,-42.1708,596.679,605.509,1,2.8273e-09
76.45,-99.3969,421.85,440.404,-21.9994,58.6048,-26.0929,68.7029,-124.017,-19.905,139.849,187.974,5.98587,35.736,1.62234,36.2702,1,2.8273e-09
-0.469394,-97.3231,-74.8011,122.828,52.2598,-31.7825,40.9041,73.7019,-17.0729,79.4657,3.73226,81.3647,-72.9773,22.87,123.446,145.216,1,2.8273e-09
-36.0002,58.8774,79.9273,105.775,2.84053,36.7603,31.3037,48.7455,-50.2167,-75.1786,67.0716,112.571,59.6839,-48.0938,4.08007,76.7582,1,2.8273e-09
19.8053,-154.998,129.367,203.267,5.10282,-33.1088,-7.54358,34.5185,-78.8384,101.935,-273.71,302.529,36.7821,24.5673,-42.3709,61.2517,1,2.8273e-09
151.498,-177.224,42.1833,237.882,-161.365,-156.799,-33.1664,227.699,21.4456,315.227,500.084,591.534,-31.2062,52.1991,37.6559,71.53,1,2.8273e-09
57.8031,78.1329,92.3923,134.398,13.3626,78.5839,35.2436,87.4382,-17.7188,-196.055,-322.339,377.695,-38.7829,-26.8535,-15.0289,49.5085,1,2.8273e-09
53.8617,-64.121,-49.2002,97.4305,-30.4434,-31.4377,8.38669,44.8464,-42.5185,82.4212,-196.395,217.192,-8.67015,27.6658,17.0535,33.6362,1,2.8273e-09
-121.646,-12.7772,41.9907,129.982,71.5301,-26.2643,283.199,293.321,84.4212,12.209,31.3956,90.8937,-18.56,35.4934,106.657,113.93,1,2.8273e-09
-18.4293,30.022,11.6162,37.3855,-27.8923,17.5861,29.5057,44.5171,86.1046,11.7611,127.893,154.625,-5.25374,-54.5316,14.7398,56.7324,1,2.8273e-09
-50.1901,-3.27774,-21.4472,55.0461,-22.955,-27.676,3.35849,36.6071,88.7545,-26.9289,-155.783,181.303,-14.9284,28.8784,0.123208,32.509,1,2.8273e-09
-35.7764,52.1818,102.353,120.618,-11.9619,35.7616,-143.377,148.354,76.7129,-108.492,66.0823,148.399,10.0968,34.3491,2.7978,35.9115,1,2.8273e-09
56.408,-159.77,-253.281,305.937,11.4872,-47.1016,-136.012,144.517,-26.6038,194.876,-241.109,311.156,-12.1081,37.1367,11.7912,40.8016,1,2.8273e-09
37.6387,-101.177,200.371,227.72,-73.2463,-10.2306,-249.108,260.077,61.9602,78.9557,169.15,196.685,-57.5005,61.0087,98.3353,129.222,1,2.8273e-09
45.2853,-17.9048,-109.56,120.103,34.9826,-6.1563,-41.0098,54.5716,-108.744,43.9392,-126.643,172.61,23.4712,-6.29792,5.50651,24.9175,1,2.8273e-09
-34.2871,129.199,-437.629,457.948,37.1677,22.9449,-63.4159,77.2495,-64.7401,-158.124,172.441,242.756,27.1691,-4.54496,93.3784,97.3568,1,2.8273e-09
93.402,-11.4115,-94.5165,133.959,35.5329,-16.9019,7.28963,40.7034,-136.148,-38.1281,79.1647,162.04,-73.9987,53.2297,-14.2882,92.2679,1,2.8273e-09
-57.0485,-44.8798,18.0354,75.2826,8.88797,-33.2051,-15.5874,37.9865,27.5645,35.773,-63.9281,78.2707,17.4056,34.5323,63.6601,74.4852,1,2.8273e-09
177.34,-3.65364,-76.4677,193.322,-48.4968,13.6175,-280.145,284.686,-42.4323,84.342,-1.95522,94.4346,9.76264,-38.8366,19.6397,44.6017,1,2.8273e-09
94.1485,-43.4406,195.945,221.868,-10.9465,55.8873,-1.81338,57.0992,-86.7324,-5.51341,229.887,245.766,7.30577,-46.5287,25.938,53.7687,1,2.8273e-09
-46.4897,-34.6309,70.0861,91.2184,-49.8593,-0.896627,98.4383,110.518,135.903,82.7821,-333.009,369.077,1.98033,-29.233,-82.1565,87.2249,1,2.8273e-09
38.3544,-79.6805,455.565,464.495,15.0373,-59.1521,192.062,201.817,9.4962,118.959,-66.8057,136.764,-71.9074,44.6666,-120.162,146.986,1,2.8273e-09
137.877,56.4705,-126.031,195.415,-98.0749,42.7855,-119.09,160.258,21.0161,-108.616,-44.3797,119.2,-48.0365,-4.73505,-81.1861,94.4516,1,2.8273e-09
-114.575,20.722,-249.09,275.439,-42.6243,-12.6123,-122.685,130.687,147.779,-25.1419,-864.607,877.506,16.7655,7.25233,-8.34849,20.0842,1,2.8273e-09
24.0788,-101.866,16.9206,106.505,30.4757,32.6491,23.6325,51.056,-3.56161,61.5836,-163.475,174.726,-27.766,34.1446,12.2125,45.6722,1,2.8273e-09
73.5376,35.232,253.982,266.794,-24.0485,-24.8858,-7.58171,35.7479,-99.408,-11.4321,24.7098,103.069,28.3314,-3.89343,-28.5393,40.4019,1,2.8273e-09
64.489,-27.132,-35.5747,78.6454,-39.8928,-20.2755,38.1193,59.3849,-66.4863,49.7644,-219.121,234.331,44.8971,31.3307,-46.7,71.9601,1,2.8273e-09
54.441,95.1924,3.59115,110.293,23.8174,-32.7602,345.421,347.864,-66.1614,-106.623,23.5561,127.674,-4.38153,15.1218,-42.156,44.9999,1,2.8273e-09
-66.6944,27.0069,531.735,536.592,-15.118,-41.9855,274.011,277.677,61.0291,66.7526,110.97,143.16,-18.7712,-35.6591,90.8376,99.375,1,2.8273e-09
85.6175,-46.6327,180.807,205.532,45.6895,4.52001,-5.01977,46.3723,-96.3691,78.8085,-382.435,402.187,-12.4064,46.7539,-22.3871,53.3013,1,2.8273e-09
-60.5852,-44.2958,-0.0220525,75.5525,-27.3288,-61.8335,-34.4588,76.3906,117.403,145.887,-307.024,359.625,-1.21725,-19.9274,-77.8591,80.378,1,2.8273e-09
29.9825,-51.4833,-63.553,87.548,-42.8642,8.9387,-157.012,163.217,61.8036,14.4868,-210.458,219.823,-19.2945,8.27698,8.37657,22.6042,1,2.8273e-09
-22.8394,281.511,1140.05,1174.64,-71.0535,-74.9276,13.8168,104.738,248.983,-180.281,-289.651,422.364,71.6537,14.8256,-48.61,87.8463,1,2.8273e-09
-34.9255,50.6559,-6.43526,61.9924,-14.18,-31.908,9.66938,36.4705,57.4481,-52.4441,223.624,236.766,59.6706,-1.22366,11.5289,60.7865,1,2.8273e-09
132.369,122.058,74.9919,195.779,34.5591,-3.85911,31.7421,47.2552,-152.497,-109.488,-264.617,324.446,-12.5416,23.547,-5.05412,27.1532,1,2.8273e-09
299.41,-35.5463,-36.15,307.49,165.916,-156.92,-6.95004,230.795,-392.027,184.123,-1430.15,1494.29,-87.1888,-10.8696,-372.014,382.25,1,2.8273e-09
88.5863,25.1721,-341.891,354.939,30.9326,36.0396,-88.757,100.779,-159.093,-61.9944,53.7992,179.021,17.4122,6.25873,32.2453,37.1769,1,2.8273e-09
-5.6998,128.67,-37.2482,135.562,17.3728,34.7202,-7.9051,39.8396,-39.2878,-224.889,-117.968,256.973,26.9315,0.919671,-33.1209,42.6983,1,2.8273e-09
65.0437,123.539,-4.66871,139.807,54.5458,-43.4067,130.644,148.241,-109.792,-184.293,-202.744,295.166,-26.4146,-66.1752,-212.928,224.534,1,2.8273e-09
194.043,131.878,228.652,329.613,-77.42,19.0731,-4.0732,80.0493,-61.1752,-118.752,153.912,203.797,-73.5622,-0.783753,179.283,193.79,1,2.8273e-09
82.6816,71.1469,645.737,654.945,-45.7343,1.431,-93.1408,103.878,-32.3913,-107.589,-276.069,298.058,7.72094,25.6461,-17.0106,31.7284,1,2.8273e-09
-67.5713,-70.3316,87.712,131.301,39.5694,-17.2824,137.047,143.763,4.79597,147.415,313.387,346.361,0.18017,-27.3022,43.9004,51.698,1,2.8273e-09
54.694,-78.423,231.21,250.327,-29.1759,-15.6348,-120.046,124.614,13.8794,100.948,-0.0581105,101.898,-76.4302,31.5108,-49.0348,96.1193,1,2.8273e-09
-52.8544,-13.4712,134.283,145.02,39.4045,2.30167,71.7779,82.198,-22.9353,61.516,38.9968,76.361,9.9363,-43.7512,-25.1437,51.4306,1,2.8273e-09
35.3351,-47.8825,-41.4002,73.2857,24.3184,-42.5939,-74.8503,89.7502,-43.7204,108.708,-106.393,158.267,35.4321,-7.64829,-4.88334,36.5756,1,2.8273e-09
-92.5737,19.3954,30.0295,99.6461,-16.5333,-58.9909,-210.887,219.716,85.8725,55.2473,-33.7326,107.537,-33.7413,53.8886,-72.8468,96.6908,1,2.8273e-09
94.1023,-2.56746,100.458,137.889,-28.0071,18.5429,-189.758,192.742,-52.6083,-38.6265,-228.623,237.756,28.7165,5.44835,-5.55799,29.7526,1,2.8273e-09
-56.732,-28.4153,44.4796,77.9501,-29.7751,-43.1773,35.1355,63.2822,123.825,-22.4891,208.954,243.927,7.18443,59.3411,97.8439,114.658,1,2.8273e-09
41.8932,-20.8087,-46.9117,66.4419,32.2841,30.7284,114.348,123.023,-117.762,-31.4438,-22.799,124.001,21.9459,23.2801,10.264,33.5996,1,2.8273e-09
-5.08681,-57.9835,-74.576,94.7533,-42.8443,-33.9815,-224.707,231.319,37.7542,84.4914,-544.635,552.441,64.0491,30.1886,-102.987,124.98,1,2.8273e-09
-66.8213,-30.8155,-57.093,94.0618,6.32175,-58.0993,-73.946,94.8017,106.2,11.4808,-109.407,152.905,26.3305,102.909,-160.438,192.416,1,2.8273e-09
-29.6741,60.758,-187.588,199.504,-27.2452,38.8364,-68.5943,83.5226,29.0772,-111.67,-128.89,172.999,35.1285,27.9218,-62.9474,77.3047,1,2.8273e-09
-36.2084,40.9302,83.6124,100.005,10.5815,37.0665,-5.68382,39.2048,56.2113,-44.1196,-419.965,426.001,-14.3654,12.7661,-3.54974,19.5432,1,2.8273e-09
-274.086,243.437,-153.836,397.792,-37.1601,124.385,16.8317,131.062,202.967,-230.658,-193.406,363.049,69.087,-10.8185,-92.295,115.795,1,2.8273e-09
-37.6277,21.084,36.7347,57.4719,-36.521,1.11577,3.44173,36.9322,88.6602,15.4705,-327.453,339.596,-10.5885,16.2438,3.06341,19.6307,1,2.8273e-09
9.89946,65.2076,-25.7641,71.5013,38.7157,3.47787,125.559,131.662,-62.686,-95.9248,51.9419,125.814,-29.8884,30.4093,77.3152,88.2932,1,2.8273e-09
7.72091,-45.2737,-161.759,168.356,-17.4494,-40.1999,-150.791,157.187,-15.9243,106.559,-298.836,317.665,38.4151,-14.9526,-46.3694,62.0436,1,2.8273e-09
58.3723,20.53,39.9344,74.3516,15.7775,-39.9385,-7.10637,43.8662,-71.7907,15.5026,-236.569,247.708,-16.953,1.27189,14.0793,22.0738,1,2.8273e-09
-6.04111,-48.6178,-42.9572,65.386,-39.3305,12.7946,70.9834,82.5031,127.226,17.6199,-62.5562,142.864,-27.6668,-4.62343,-47.3057,54.9969,1,2.8273e-09
47.3398,10.1349,26.4311,55.4198,39.0753,16.4483,-39.4449,58.1735,-106.564,8.2281,46.1707,116.428,29.4369,-28.4925,10.1473,42.2057,1,2.8273e-09
43.5506,-55.7564,204.689,216.699,-44.1259,-53.7304,-52.8822,87.5786,36.6102,99.5928,272.923,292.824,-24.3029,-27.6672,135.922,140.823,1,2.8273e-09
65.7282,-41.9071,92.327,120.983,-15.5826,43.9881,32.1311,56.9431,-65.6185,-34.2555,79.2884,108.471,17.5843,41.1436,-7.37742,45.3479,1,2.8273e-09
113.293,28.3263,-68.6288,135.803,-6.15054,55.674,68.6437,89.076,-70.6499,-64.5488,-314.419,328.66,-49.7472,-48.9623,-34.9817,78.0757,1,2.8273e-09
-110.87,133.326,-230.589,289.49,-19.9605,137.33,-60.7383,152.046,30.5615,-213.63,-348.638,410.024,121.458,-118.799,-243.185,296.655,1,2.8273e-09
8.77552,-51.7913,29.8487,61.2426,-36.1395,-30.2372,-320.314,323.788,42.3824,133.878,-81.4728,162.349,-32.268,-11.6838,-32.2763,47.1115,1,2.8273e-09
-152.273,-11.482,-69.8583,168.294,-49.1363,0.485388,-93.9596,106.231,238.327,3.95457,102.284,259.379,7.96932,39.7379,24.3696,47.2915,1,2.8273e-09
43.6894,-1.65129,9.73955,45.0987,-11.2101,40.106,-123.129,130.122,-45.3645,-41.2194,-84.383,104.295,-17.7728,-7.64806,42.9321,47.0907,1,2.8273e-09
-29.6329,83.3188,-135.399,162.107,-28.4817,67.5966,-17.7364,75.772,47.8873,-174.023,313.286,361.559,-42.9712,-53.9668,48.6481,84.4131,1,2.8273e-09
-20.1771,-60.4888,-33.4363,72.2036,-35.5597,9.4971,191.403,195.006,31.0475,165.469,175.214,242.989,-22.2482,-3.6403,-4.535,22.9957,1,2.8273e-09
56.5476,7.12591,-109.688,123.699,-14.927,-32.5401,321.61,323.639,30.601,72.3721,133.438,154.855,-32.4001,-35.343,103.332,113.914,1,2.8273e-09
-46.6779,13.1756,93.3041,105.393,-15.3809,29.5694,-28.9356,44.6431,51.8221,-77.7654,-344.551,357,-0.80348,41.6439,-223.618,227.464,1,2.8273e-09
-67.2522,54.3119,97.2346,130.362,-65.233,25.205,173.532,187.431,116.223,-31.1344,60.6984,134.765,18.5412,-48.2547,136.037,145.528,1,2.8273e-09
47.1446,-56.9559,292.665,301.993,-52.9596,-1.9884,189.165,196.515,-192.222,220.774,-355.839,460.773,-6.99628,-9.65705,-61.2122,62.363,1,2.8273e-09
161.057,-142.519,140.302,257.209,33.9966,-48.275,312.154,317.785,-123.799,151.209,-4.29365,195.471,-56.0983,52.2683,-89.168,117.601,1,2.8273e-09
-42.9862,-62.2087,-3.82631,76.0447,13.8774,-38.0963,-111.349,118.61,99.4111,25.4431,-94.1946,139.293,85.9864,9.18758,37.3089,94.1808,1,2.8273e-09
50.9233,120.361,-114.396,174.496,-58.0933,-1.764,-122.812,136.013,-11.9991,-80.7477,-97.6674,127.291,55.8355,21.4297,-38.61,71.1869,1,2.8273e-09
-74.8096,-217.613,-2.51284,231.316,82.7831,63.7185,-24.7772,107.797,-5.06767,114.776,-131.593,174.688,-96.4331,27.0974,-77.7595,126.808,1,2.8273e-09
48.8938,-22.3295,20.7946,58.5269,44.6084,15.2125,82.1499,94.8724,-135.943,-40.6559,88.4006,167.177,-42.0502,29.4394,140.15,149.254,1,2.8273e-09
-57.9917,38.2021,-103.268,124.539,-57.1813,-29.8981,65.2074,91.8765,83.0889,-48.0475,-58.2196,112.258,30.7278,2.15232,52.7744,61.1062,1,2.8273e-09
34.6449,18.3322,-51.0536,64.597,18.5933,-28.7627,-289.339,291.392,-25.4726,84.3499,210.363,228.071,-81.9259,-24.714,312.954,324.442,1,2.8273e-09
-57.8294,65.4933,52.6123,102.785,-38.3716,-33.9776,13.6821,53.6705,133.768,35.4818,-21.0271,139.983,-5.6943,-30.1903,21.0304,37.2311,1,2.8273e-09
72.8109,-132.451,-103.64,183.423,34.3846,-13.5488,-142.066,147.071,-21.7755,174.112,-48.3127,181.998,-53.1414,8.57239,8.98719,54.5734,1,2.8273e-09
-47.837,144.655,-170.144,229.74,129.663,31.2959,-535.421,551.887,-72.7034,-190.878,-290.626,355.223,-64.7258,-29.4571,-36.9094,80.1215,1,2.8273e-09
46.3673,32.9232,-43.1783,71.6885,51.4322,2.69549,-83.7575,98.7149,-55.7004,-80.9627,227.376,247.705,-50.7857,33.5468,327.62,333.225,1,2.8273e-09
69.285,-14.8385,36.7507,80.0573,38.0441,-7.77446,76.7127,86.1115,-85.9138,-16.4122,105.631,137.144,-32.0691,72.8375,208.147,222.843,1,2.8273e-09
-97.4096,98.0205,-174.134,223.166,-51.6693,-10.7675,-28.3493,60.6337,104.568,-27.0177,-154.378,188.407,10.3472,-105.668,-114.129,155.879,1,2.8273e-09
-43.2787,31.7107,-18.025,57.0008,-41.1188,-27.5935,-46.7197,68.4655,62.4155,-48.1379,-130.302,152.287,12.8361,13.1874,26.4694,32.2382,1,2.8273e-09
42.2083,-44.6747,109.757,126.393,-18.5353,-28.2548,-17.052,37.9756,-58.4756,71.2122,4.19459,92.2397,37.4758,-4.7926,-47.7339,60.8763,1,2.8273e-09
74.1293,116.525,-71.6775,156.087,7.03526,39.3177,34.0283,52.573,-59.3245,-120.041,-238.606,273.609,-55.9163,16.524,-50.958,77.4363,1,2.8273e-09
161.126,36.0346,158.502,229.344,-2.64865,39.8647,32.1475,51.4407,-193.344,-139.511,107.65,261.599,-56.8938,26.0097,42.0341,75.3676,1,2.8273e-09
82.2194,14.8687,-218.312,234.051,49.4814,-4.87022,402.911,405.975,-140.779,-70.8592,-101.426,187.422,-41.5757,40.1185,2.09667,57.8138,1,2.8273e-09
22.601,70.6924,67.3712,100.717,55.5001,20.9839,16.1642,61.9084,-81.2454,-82.2852,-313.503,334.149,8.50329,30.8015,-34.2857,46.8674,1,2.8273e-09
-46.3991,-45.9777,22.5693,69.2023,-15.7363,-33.8902,101.053,107.87,95.2808,-17.8361,-187.582,211.148,25.0757,74.5816,-271.166,282.351,1,2.8273e-09
52.6966,-45.5733,5.03542,70.5132,22.9778,-37.6199,15.5536,47.0572,-86.9634,40.238,-61.1012,113.645,-69.4205,-16.2439,-219.004,230.317,1,2.8273e-09
-273.633,-36.827,-66.0997,285.279,-29.9052,-16.0074,-16.498,37.9899,190.409,-54.7085,38.6582,201.849,179.177,24.0101,-55.6629,189.154,1,2.8273e-09
-87.8889,13.3998,11.6505,90.0014,32.1105,67.7525,71.5746,104.15,108.62,-115.854,235.063,283.681,-17.0984,5.36918,99.0236,100.632,1,2.8273e-09
43.7525,-77.0857,-205.204,223.77,54.4839,-50.6943,-125.969,146.477,-31.1754,151.073,198.838,251.658,-93.0346,51.605,61.8156,123.043,1,2.8273e-09
-81.8745,-244.656,-282.449,382.983,-49.7863,-76.0389,-164.406,188.05,82.6957,259.486,45.1025,276.054,66.344,137.914,125.112,197.674,1,2.8273e-09
-162.037,-20.7603,-142.946,217.411,60.2505,71.5194,-104.006,140.137,115.11,16.5212,-104.534,156.367,-19.1882,-36.1924,-28.9536,50.1636,1,2.8273e-09
-133.851,23.1106,-115.495,180.364,-55.4932,113.182,-226.997,259.833,197.315,-273.853,447.762,560.732,35.6437,8.92077,49.9623,62.0184,1,2.8273e-09
34.9899,-33.2858,150.72,158.393,8.8252,-44.5961,144.313,151.425,-45.6834,59.5326,48.4509,89.323,47.6659,41.6739,-32.9015,71.353,1,2.8273e-09
-43.9401,71.7893,430.105,438.402,22.2705,-58.2567,42.5705,75.8092,55.4676,-28.1715,67.2053,91.5797,-33.7566,40.5654,-3.91791,52.9189,1,2.8273e-09
-36.6848,25.0145,-14.7012,46.9687,-41.7873,3.9032,-148.721,154.54,49.9445,-81.5338,-26.4127,99.1959,31.8987,39.1054,-50.8192,71.6194,1,2.8273e-09
46.5352,-24.9596,-113.193,125.179,-3.36776,-35.0241,-46.6316,58.8425,36.1979,53.248,-144.947,158.604,-45.3942,34.0936,-11.4887,57.9223,1,2.8273e-09
-2.51217,-91.4663,-46.4531,102.751,30.3814,-31.8256,-67.1763,80.5122,-70.192,100.355,97.9907,156.845,43.7689,12.5384,13.0946,47.3751,1,2.8273e-09
-37.2519,32.3483,-198.971,205.083,31.6674,17.3229,-16.7757,39.886,13.0148,-83.0499,-105.704,135.055,49.3828,40.0961,-96.7689,115.804,1,2.8273e-09
-71.0056,65.1328,-0.442063,96.8368,-36.7576,32.9201,-22.9659,54.5713,84.5853,-136.698,219.513,272.079,22.3963,24.0201,15.7868,36.4387,1,2.8273e-09
-61.3497,-24.8483,-314.474,321.464,-27.9815,-24.1784,-125.449,130.84,32.7654,-55.5155,-51.1249,82.2758,38.2197,46.0784,18.6972,62.718,1,2.8273e-09
-2.13272,-86.5512,505.15,512.542,-4.6082,70.7148,-17.0823,73.0752,-15.4625,64.708,-85.9921,108.724,28.2468,-40.5851,-162.41,169.771,1,2.8273e-09
-145.356,-73.481,-1192.54,1203.81,-64.2413,-77.9152,-586.688,595.384,173.804,119.095,-178.524,276.156,34.5937,13.7744,20.3776,42.4465,1,2.8273e-09
-38.9409,-24.6168,-381.336,384.139,-28.4698,-23.16,-68.2028,77.5253,86.6828,97.4454,-10.4373,130.838,0.617155,-24.0621,29.5785,38.1347,1,2.8273e-09
56.9036,-11.4919,-117.848,131.6,-2.47896,50.9987,131.702,141.407,-87.6382,-77.9579,-142.877,184.856,14.7786,-22.8914,17.4569,32.3599,1,2.8273e-09
