ptb1,ptb2,pta1,pta2,ptaa,etab1,etab2,etaa1,etaa2,etaaa,mbb,maa,sqrts,drbamin,drba1,dphiba1,dphibb,class,weight
115.504,79.0458,160.523,103.033,263.399,1.33078,1.932,1.53978,2.45685,1.99845,62.8142,122.453,494.805,2.90645,2.90645,2.89892,0.18858,1,2.8273e-09
125.397,62.5979,125.604,36.2339,119.088,1.92771,-0.405619,0.959341,0.0447593,1.00824,312.949,126.843,494.493,0.691766,2.28285,2.06729,2.84506,1,2.8273e-09
97.3242,61.1654,81.279,76.477,136.314,-0.707942,0.626873,0.0459029,1.25646,0.833178,134.627,128.774,410.049,2.4002,3.02072,2.92514,1.02922,1,2.8273e-09
69.0113,36.8699,90.4076,76.6497,123.635,0.988921,0.7705,0.686638,0.0532049,0.5477,35.472,124.487,289.213,2.02657,2.02657,2.0039,0.62591,1,2.8273e-09
156.258,33.4997,128.865,44.2321,133.31,0.754314,-0.223322,-1.49775,-0.851305,-1.59823,75.4747,121.067,565.735,2.10271,3.44758,2.61036,0.02583,1,2.8273e-09
233.152,224.999,315.956,60.8159,367.556,0.179953,-0.146878,1.23981,0.585201,1.17407,324.061,124.064,986.608,1.94598,2.59288,2.36637,1.50704,1,2.8273e-09
97.1903,79.7119,196.854,47.1722,229.958,0.846032,0.428868,-1.26867,-0.313439,-1.17636,57.407,125.72,610.466,2.45953,3.34736,2.59478,0.468513,1,2.8273e-09
83.7412,43.7622,92.742,28.9926,121.406,-0.5581,0.190488,-1.49505,0.558683,-1.18205,94.3243,126.537,324.161,2.10108,3.06587,2.91919,1.46799,1,2.8273e-09
122.315,76.1996,85.2994,40.0532,81.3216,0.336891,2.02357,0.360222,1.70608,1.29961,263.441,127.597,423.824,1.73559,3.10271,3.10262,2.68505,1,2.8273e-09
35.2273,32.9734,86.9041,54.7841,91.4668,0.324048,0.80502,1.17894,0.265907,1.22726,24.5928,126.34,225.876,2.10742,2.16181,1.9856,0.457703,1,2.8273e-09
50.297,35.9568,92.7498,32.5087,73.8518,-0.414444,0.0932682,-1.29043,0.00378999,-1.4908,42.009,126.616,249.557,1.97409,2.91646,2.7818,0.813157,1,2.8273e-09
63.2684,37.7091,132.873,35.8023,114.162,1.25836,-2.04559,0.478826,0.0780665,0.571697,246.271,127.251,450.523,2.20916,3.22283,3.12713,0.278211,1,2.8273e-09
169.435,48.4821,196.683,39.0607,235.22,-1.19191,-1.75505,-1.03243,0.297463,-0.863521,62.8846,126.329,509.609,2.9422,2.9422,2.93787,0.100185,1,2.8273e-09
107.951,73.9574,100.365,83.8354,140.035,1.37738,-1.92888,1.29337,0.998545,1.40271,471.054,122.705,782.609,2.12174,2.12174,2.12008,1.78817,1,2.8273e-09
48.6964,35.5202,117.286,24.3015,93.2114,-1.5501,-0.986547,-0.936676,0.224696,-1.0782,28.5999,125.12,253.97,1.21443,3.19357,3.13411,0.202318,1,2.8273e-09
133.671,43.6796,170.864,27.5466,166.952,-1.90168,-1.16775,0.887884,1.93501,1.24484,110.608,130.935,842.331,3.18493,3.74161,2.49358,1.27713,1,2.8273e-09
94.0965,39.348,141.386,91.1549,210.689,-0.884526,0.184217,0.534153,-0.156111,0.303256,73.9777,126.783,420.413,2.44967,3.09168,2.74697,0.322421,1,2.8273e-09
72.586,34.374,45.1609,38.6709,83.4575,0.245981,-0.439208,-1.14699,1.27322,-0.00321034,66.3868,127.942,265.883,2.33347,3.21169,2.89389,1.16576,1,2.8273e-09
177.378,50.3724,94.4144,40.0449,56.0183,-0.418754,-2.417,-0.0207075,0.472647,0.31067,290.894,126.017,503.533,1.5795,2.09567,2.05752,2.88845,1,2.8273e-09
103.687,56.9492,86.9075,47.0987,94.9577,1.39322,-0.0318366,1.69984,0.526108,1.717,181.819,123.522,361.416,1.31061,2.66352,2.64581,2.19651,1,2.8273e-09
57.9706,49.8673,159.131,29.3,147.917,1.02172,1.43195,-1.48433,-1.75457,-1.7555,41.8516,118.192,608.385,3.57488,3.94631,3.04845,0.622258,1,2.8273e-09
88.431,61.0335,119.337,84.651,175.124,2.34175,1.86388,-0.534054,-1.14927,-0.928397,49.2546,122.018,830.491,3.88583,3.88583,2.61332,0.199678,1,2.8273e-09
148.993,107.001,110.631,48.2693,116.527,-0.768102,-0.95905,-0.391105,-1.29163,-0.935172,234.483,127.678,431.693,0.608538,1.80814,1.7684,2.3415,1,2.8273e-09
116.434,44.4511,149.902,18.2668,165.514,-1.50427,-1.73969,-2.45287,-0.442452,-2.36484,44.0971,127.362,387.52,2.7663,3.27172,3.13118,0.466613,1,2.8273e-09
104.673,44.6624,61.6865,44.0091,100.724,0.160956,0.507119,-1.70157,0.274056,-1.19573,124.152,124.699,359.659,1.45253,3.50336,2.96725,2.1585,1,2.8273e-09
81.5418,34.6068,100.063,28.5977,72.71,1.85412,-0.217366,0.244499,-0.879929,-0.0526431,168.114,123.622,373.626,0.828657,3.23775,2.8093,2.78588,1,2.8273e-09
69.9641,44.7496,83.0477,54.7482,83.9196,-0.488775,0.772635,-1.69747,-0.773519,-1.87014,127.253,126.928,356.319,1.04698,3.13932,2.8973,2.27312,1,2.8273e-09
109.66,40.5031,125.482,15.7437,115.537,0.0327421,2.83995,0.186639,-1.71126,-0.1603,279.421,126.971,536.535,1.91937,3.10954,3.10573,1.99345,1,2.8273e-09
71.955,44.6244,90.4459,40.298,52.4647,2.6978,2.5146,1.03309,1.55184,2.0568,83.0024,123.873,315.984,0.972732,2.54624,1.92668,1.60993,1,2.8273e-09
97.4934,45.9125,124.49,48.372,166.127,1.37663,-0.109117,-1.84098,-0.447705,-1.62351,116.359,126.454,663.684,1.76436,4.36854,2.95484,0.597344,1,2.8273e-09
75.0512,67.6036,187.261,19.9645,171.362,-0.000293833,-0.489888,-1.26976,-2.07014,-1.54854,53.9025,126.897,416.343,1.61967,3.14714,2.87974,0.52332,1,2.8273e-09
59.5775,43.7863,63.4787,20.9949,48.2204,-0.927779,-1.98905,-1.91374,0.38909,-2.13998,110.716,124.935,251.672,1.61071,1.61071,1.27368,2.30374,1,2.8273e-09
282.436,103.261,307.399,73.1714,360.81,2.10352,0.133409,-0.839954,-0.6232,-0.836486,503.897,125.343,1576.17,1.96151,3.72228,2.27845,2.30177,1,2.8273e-09
61.5289,34.917,77.7861,59.6832,128.829,-0.104399,0.273502,1.77811,0.191987,1.36266,83.1965,129.011,306.847,1.95553,3.46945,2.91431,2.11978,1,2.8273e-09
180.055,34.7739,187.731,26.6787,186.074,0.405306,0.81836,-1.14352,-0.188329,-1.16629,76.4038,127.577,570.961,2.39341,3.39346,3.01938,0.856101,1,2.8273e-09
301.513,228.368,433.112,87.8637,509.573,-0.11961,-0.0304288,-1.90986,-2.14996,-1.97573,185.258,118.136,1557.51,3.09841,3.34083,2.82067,0.639369,1,2.8273e-09
92.0933,47.494,170.745,18.5029,152.25,-2.0225,-1.38338,0.31009,1.32228,0.538715,64.7268,127.113,576.366,2.7545,3.83724,3.04688,0.584651,1,2.8273e-09
128.796,38.824,228.295,26.9472,224.31,-0.285317,-0.202232,-0.496129,-1.03447,-0.630881,43.5261,129.074,428.384,1.3577,2.93196,2.92437,0.508208,1,2.8273e-09
139.616,69.7093,214.518,71.2523,285.108,-0.0334334,1.38588,-0.842025,-1.81476,-1.17121,215.359,126.563,734.331,3.19301,3.19301,3.08893,1.75834,1,2.8273e-09
234.615,79.7348,133.583,73.5664,180.119,0.863285,-0.0510621,0.984998,1.62359,1.3744,284.606,120.886,582.431,2.64622,2.64622,2.64342,2.30312,1,2.8273e-09
109.079,45.7567,112.359,26.7831,85.5758,2.47853,-1.45943,-1.63115,-0.598708,-1.94485,513.631,124.661,1057.11,1.32085,4.84911,2.57379,2.39976,1,2.8273e-09
97.5316,43.1789,147.493,27.3028,120.216,0.808361,1.87206,1.49808,1.25317,1.80957,129.164,127.845,335.752,1.30808,2.50553,2.40873,1.92439,1,2.8273e-09
95.6117,33.1011,101.898,82.6711,146.485,1.61642,-1.99995,-0.000570284,-0.562926,-0.329163,344.566,123.865,567.082,1.68662,2.89056,2.39596,1.68785,1,2.8273e-09
54.5441,39.4717,65.6524,44.8654,22.0127,1.63299,1.35937,0.563664,-0.534595,0.593807,94.1342,125.117,277.356,1.81253,1.81253,1.46349,2.95038,1,2.8273e-09
59.5088,49.0472,117.171,36.2481,101.399,-0.649139,-1.20915,-0.814817,-0.134316,-0.948605,36.359,123.691,271.216,1.36378,2.89298,2.88823,0.116972,1,2.8273e-09
94.5837,61.264,102.11,63.5803,120.947,0.312386,-1.94974,-0.324625,-0.980771,-0.79483,236.242,125.386,428.304,2.504,2.44771,2.36337,1.50406,1,2.8273e-09
94.1373,33.5892,65.2659,29.2288,40.8853,0.928063,-2.43244,-1.96653,-0.189027,-2.44601,310.995,122.673,501.053,1.13755,3.81234,2.48098,2.58405,1,2.8273e-09
63.4503,52.4484,125.85,59.7744,136.094,0.653498,0.627838,1.28054,1.26837,1.55191,31.6074,126.239,311.952,2.09891,2.5751,2.49759,0.50274,1,2.8273e-09
46.7765,44.5702,121.887,31.9935,96.1631,-0.883416,1.67131,-0.185975,0.315552,-0.129985,160.464,124.232,342.008,1.35684,2.51817,2.41966,1.22172,1,2.8273e-09
58.2062,54.6843,92.5428,70.8071,153.347,-1.06696,-2.12086,-2.47273,-1.16924,-2.14748,77.4465,126.371,327.035,2.10125,3.14101,2.80887,0.812748,1,2.8273e-09
73.5846,58.4422,106.818,106.224,175.069,-0.713725,-1.05711,-0.898403,-1.2005,-1.21749,83.2595,125.624,344.686,1.5781,2.82323,2.81718,1.24708,1,2.8273e-09
67.6172,47.4401,115.394,44.8736,105.528,-1.74454,-1.16438,-0.961707,-1.13959,-1.35909,36.2685,121.3,288.814,1.51117,3.04437,2.942,0.157435,1,2.8273e-09
54.6473,38.5473,71.4581,19.2181,52.2889,1.21131,-0.146921,-2.47137,-0.183673,-2.78874,81.033,128.104,469.115,1.12296,4.72512,2.96052,1.00234,1,2.8273e-09
366.585,129.818,307.244,69.9289,363.764,-0.408214,0.129296,-0.593944,-1.09049,-0.721227,169.557,123.863,905.139,2.35667,3.02437,3.01867,0.554243,1,2.8273e-09
43.1321,36.5381,89.9998,19.3902,84.2674,0.772515,0.0940569,-2.00306,0.157338,-2.05756,36.1541,129.283,349.402,0.964658,3.70757,2.4581,0.480199,1,2.8273e-09
65.9548,38.8716,114.591,42.6385,113.412,-0.381324,1.8888,0.43904,1.35687,0.976798,155.676,127.562,345.987,2.31978,2.83473,2.71343,1.33054,1,2.8273e-09
45.9274,43.8237,107.743,41.2225,94.3272,-1.97176,-1.94935,-1.74431,-0.966963,-2.00868,29.8326,126.944,254.042,1.8853,3.1293,3.12102,0.578439,1,2.8273e-09
61.8773,42.942,73.4455,17.0007,90.3152,0.607346,-0.164741,-1.88611,0.754508,-1.63358,83.8026,122.978,338.16,2.22107,3.59572,2.59072,1.53276,1,2.8273e-09
48.9917,41.3592,128.441,28.0504,100.404,-0.791541,1.30904,-0.469594,-1.29393,-0.946438,133.206,130.378,330.74,2.64687,1.86011,1.83204,1.76169,1,2.8273e-09
48.4125,42.396,106.881,40.9677,79.745,0.521933,-0.831286,0.419562,0.245225,0.65776,67.5266,125.034,268.525,1.58808,2.85546,2.85363,0.187521,1,2.8273e-09
70.749,69.5273,106.109,36.8253,72.971,1.78411,-0.701602,1.67368,2.01691,2.42429,239.899,124.781,478.176,2.71872,2.12909,2.12622,1.35066,1,2.8273e-09
77.9513,46.6666,74.0218,44.7438,48.5255,1.00596,0.64324,0.9308,-0.164143,1.18469,116.829,127.021,267.224,1.09814,2.09422,2.09287,2.47885,1,2.8273e-09
116.78,56.0127,95.6972,69.8004,165.47,-0.558228,1.0322,-1.90508,-0.482257,-1.49244,178.984,126.383,525.186,2.70244,2.96932,2.6463,1.43582,1,2.8273e-09
173.402,138.773,215.805,169.898,365.539,-1.09649,-0.424791,-1.25718,-1.15607,-1.25903,140.395,124.59,730.875,2.59465,2.59497,2.58999,0.549361,1,2.8273e-09
52.5295,47.1206,140.426,34.3182,122.612,0.54139,-2.6151,-0.551758,-0.83867,-0.829328,237.489,126.101,433.728,1.81045,2.88248,2.66715,1.04193,1,2.8273e-09
152.705,49.1387,238.36,40.5292,250.142,-0.442854,-1.40363,0.41693,0.569927,0.486862,88.5509,124.237,577.342,2.64357,3.20057,3.08292,0.0851398,1,2.8273e-09
43.7206,41.6432,61.2942,19.3485,79.8395,0.220966,-1.80468,-1.12436,1.53745,-0.498298,123.74,121.759,285.741,2.72196,2.72196,2.36625,1.88113,1,2.8273e-09
88.4316,73.352,180.491,68.985,228.042,-1.2119,-0.239502,1.3188,0.65692,1.24214,83.5656,126.063,644.426,2.2561,3.97739,3.06842,0.0570675,1,2.8273e-09
63.7653,36.8061,168.357,22.544,162.068,-0.502898,2.35098,0.909883,-0.199829,0.918449,201.843,123.898,402.245,1.12812,3.32064,3.00511,1.50982,1,2.8273e-09
56.9949,35.8004,78.5757,47.9468,37.0728,-1.40937,2.89161,1.29992,1.51094,2.55343,390.925,121.663,556.564,1.41546,2.90398,1.04541,2.12624,1,2.8273e-09
48.5018,33.3305,93.4504,41.6516,62.5113,1.40899,-0.784998,-2.01586,-2.38231,-2.90323,112.645,121.957,534.33,1.66233,4.2015,2.43372,0.816039,1,2.8273e-09
86.4445,69.9331,120.321,51.6942,156.41,0.966941,1.6403,0.485207,1.69502,1.05247,61.665,124.076,373.019,2.307,2.76625,2.72398,0.310634,1,2.8273e-09
73.9364,52.9969,292.729,11.925,290.273,2.08456,1.9846,-1.02592,-2.33821,-1.15916,113.322,124.424,987.1,4.40324,4.40324,3.11665,2.2247,1,2.8273e-09
215.061,59.0445,195.424,76.6746,271.599,0.61322,2.36718,-0.0219692,-0.992031,-0.337663,226.832,124.55,812.03,3.04818,3.04818,2.98126,0.232828,1,2.8273e-09
75.6158,40.5452,102.615,86.4759,188.604,-0.0505804,-1.73501,-0.822141,0.419064,-0.297219,117.119,125.31,353.483,1.7321,2.54575,2.42602,0.953991,1,2.8273e-09
130.691,58.1201,81.6343,59.8067,73.758,-0.790406,-1.49309,-1.01367,-0.607515,-1.37334,161.342,124.023,338.7,0.824621,2.89748,2.88886,2.0014,1,2.8273e-09
230.113,104.466,114.888,100.168,174.443,-0.0109198,-0.235011,-0.980549,-0.714048,-1.01605,300.842,128.999,587.783,1.21465,2.93136,2.76635,2.55791,1,2.8273e-09
53.7514,47.131,141.892,51.3313,178.346,0.377813,1.32243,0.588459,1.72952,1.06712,64.3463,126.83,321.522,2.23946,2.43173,2.42259,0.757063,1,2.8273e-09
69.4438,64.5259,95.9809,30.8031,122.722,-1.18757,0.888822,-0.574455,1.30754,-0.0443553,179.034,122.331,385.513,3.14374,3.14374,3.08337,1.06427,1,2.8273e-09
39.1962,34.2492,88.1122,85.5724,122.845,-1.07998,-2.83057,1.6046,2.00803,2.15591,88.9823,127.747,886.882,3.01731,3.01731,1.37738,1.48362,1,2.8273e-09
87.3705,51.2528,138.394,30.7226,128.183,0.570689,0.26388,-0.151358,0.639942,2.5031e-05,99.1746,122.367,323.372,0.759302,2.15916,2.03485,1.5722,1,2.8273e-09
151.144,36.9577,175.468,53.8284,197.449,-0.640917,-2.05617,-0.27197,0.166194,-0.197874,126.682,124.231,487.784,2.37473,2.7879,2.76338,0.692811,1,2.8273e-09
152.359,133.386,204.255,71.1137,259.681,-0.961552,-2.09812,-1.15119,-0.498159,-1.05463,274.711,121.702,639.269,1.7413,2.4656,2.45829,1.65334,1,2.8273e-09
56.8671,51.5028,98.2725,60.8652,116.566,-0.700558,-1.26283,1.57574,2.38486,2.2645,45.7292,125.982,617.294,3.60144,3.60144,2.79085,0.56508,1,2.8273e-09
70.8561,38.8303,87.4674,79.5847,130.781,0.497845,1.43266,1.02087,1.68926,1.60915,52.0312,118.448,305.037,2.20212,2.7913,2.74186,0.00940022,1,2.8273e-09
138.191,52.7793,108.002,106.173,175.531,-1.05389,-0.514172,-1.15495,-0.933381,-1.21112,98.5142,125.002,411.616,1.52183,2.60787,2.60591,0.993977,1,2.8273e-09
53.6527,49.5193,78.8223,18.4031,82.9719,-0.329938,-0.840828,-1.2768,1.16005,-1.04848,66.4079,128.001,258.152,1.94313,3.25762,3.11697,1.22339,1,2.8273e-09
61.4603,33.7919,92.1443,37.781,69.6603,1.34353,-0.48534,0.0455063,-1.05596,-0.590164,111.999,129.214,313.575,1.94726,3.33504,3.07208,1.3376,1,2.8273e-09
138.106,39.9421,133.9,58.3067,154.907,-0.498146,0.772715,-1.34165,-0.789389,-1.3836,106.052,124.055,449.781,2.13852,3.14907,3.034,0.38953,1,2.8273e-09
165.107,39.9526,238.423,62.5573,274.776,0.852803,0.736288,0.437426,0.629519,0.520876,107.781,125.057,505.92,1.08095,2.7679,2.73656,1.41712,1,2.8273e-09
83.553,49.7205,157.606,57.7757,184.928,-1.68835,2.78923,-0.6058,0.0362818,-0.514169,598.425,126.791,879.444,3.70003,3.05259,2.85419,0.277017,1,2.8273e-09
74.2174,59.3345,115.636,31.9537,89.1178,0.81462,0.269164,-1.72291,-0.932048,-2.07081,70.459,127.573,473.363,1.52527,3.68491,2.67199,0.899883,1,2.8273e-09
65.3209,37.3654,96.9358,78.6842,133.063,0.338985,1.7206,-1.41424,-1.95085,-1.95123,76.3692,124.041,577.436,2.79418,2.79418,2.1757,0.355251,1,2.8273e-09
69.6696,44.0822,95.8213,71.2956,158.214,0.0722129,0.345893,-0.600846,-1.8409,-1.33599,27.407,121.733,368.299,2.7224,2.94,2.86192,0.309444,1,2.8273e-09
276.1,33.9199,198.113,180.779,370.859,-0.237176,-0.468998,0.193914,-0.303237,-0.0458361,52.4737,122.711,699.231,2.76188,2.76188,2.72803,0.357682,1,2.8273e-09
88.9046,74.9766,158.81,17.9216,143.468,0.130673,0.848923,1.18371,2.41059,1.58164,145.16,124.499,397.913,1.97442,2.68996,2.47528,1.86208,1,2.8273e-09
88.6368,74.4205,154.256,106.389,237.711,-1.57629,-1.2971,1.07173,0.552495,0.948,37.7947,126.309,737.354,3.43848,3.87485,2.82885,0.305172,1,2.8273e-09
257.992,90.8878,272.345,153.042,424.429,-0.946843,-1.35475,0.16486,0.746274,0.391003,78.8618,123.713,1004.39,3.3189,3.3189,3.12717,0.256769,1,2.8273e-09
163.361,93.5155,116.29,40.9643,97.9183,-0.790192,-0.958513,-0.808057,-0.658229,-1.11644,232.203,123.483,415.271,0.743539,3.12652,3.12647,2.39831,1,2.8273e-09
135.831,126.054,337.533,36.7431,352.787,-0.771455,-1.35082,1.09455,1.11438,1.14426,148.479,125.015,1042.74,3.0134,3.0134,2.36613,0.943966,1,2.8273e-09
48.2933,45.461,75.0406,63.3147,101.226,1.85601,1.87221,0.607584,-0.498718,0.153014,30.9465,123.808,349.66,2.78061,3.23626,2.98577,0.614985,1,2.8273e-09
84.1691,62.3684,62.2117,52.7737,24.9996,2.33379,0.638324,0.937009,-0.0741718,1.65888,200.844,127.474,382.061,0.794035,2.94262,2.58998,2.95748,1,2.8273e-09
44.4015,41.9692,95.6149,50.4654,92.1872,-0.325327,-1.97762,-0.272842,-0.886322,-0.761892,83.096,121.304,283.755,2.42173,2.71937,2.71886,0.505323,1,2.8273e-09
52.8063,35.1856,64.3866,56.7715,87.8244,-1.50605,-1.09378,-1.55065,-0.201011,-1.34129,53.4651,121.237,241.9,1.46675,1.46675,1.46607,1.17435,1,2.8273e-09
91.5008,43.9989,122.467,45.5294,115.945,-0.48807,-1.20952,0.732778,0.283783,0.851425,68.5297,126.185,387.333,1.84739,2.78557,2.50379,0.789646,1,2.8273e-09
49.3367,36.0958,84.0635,63.611,75.7528,-2.10267,-0.449466,-1.05223,-1.2065,-1.70957,104.712,127.267,260.125,0.778469,2.6577,2.4413,1.92598,1,2.8273e-09
96.354,49.3443,160.751,32.8414,155.375,-0.00458789,-0.450072,1.11779,0.463881,1.20272,33.8997,125.203,407.945,1.83469,3.07905,2.86719,0.0119083,1,2.8273e-09
