ptb1,ptb2,pta1,pta2,ptaa,etab1,etab2,etaa1,etaa2,etaaa,mbb,maa,mb1h,mbbh,drbamin,drba1,dphiba1,dphibb,class,weight
47.0071,0,75.6319,49.1563,38.4587,0.103795,0,-1.33907,-0.584685,-2.16153,6.75063,127.715,204.168,204.168,1.50847,2.67844,2.25659,1.56206,3,-2.14554e-09
128.154,0,81.898,57.8483,122.096,1.0039,0,1.01817,2.44922,1.97389,16.4729,126.873,319.694,319.694,2.58604,2.58604,2.586,1.97879,3,-2.14554e-09
63.5461,0,71.3946,48.8011,68.2761,2.74767,0,0.917474,2.19921,2.16114,10.5254,127.817,246.651,246.651,1.28831,2.7676,2.07605,1.17162,3,-2.14551e-09
48.2518,0,77.5544,47.442,32.2246,0.825186,0,-1.01155,-1.54431,-2.51819,6.51869,125.12,259.998,259.998,2.06507,3.15678,2.56742,0.607368,3,-2.14551e-09
38.479,0,81.862,38.6164,66.2138,0.749173,0,2.29441,1.03735,2.61376,4.02641,125.776,199.003,199.003,1.05588,2.99577,2.56649,1.30253,3,-2.14551e-09
34.2998,0,79.9808,49.0173,47.7432,0.715826,0,0.61218,-0.0337255,0.920545,4.6672,126.706,169.767,169.767,0.622491,1.99455,1.99185,1.87903,3,2.14554e-09
217.892,0,153.617,25.5973,147.169,-0.0220674,0,-1.83802,-0.808851,-1.92459,10.3807,122.494,548.366,548.366,0.823283,3.43669,2.91773,0.857227,3,2.14551e-09
34.0305,0,38.7998,32.1146,25.8347,-0.53208,0,-0.462361,1.87019,1.88531,6.93697,121.777,177.164,177.164,1.63527,1.63527,1.63378,1.53851,3,2.14551e-09
45.4079,0,72.6473,20.39,75.0238,0.278579,0,0.85037,-1.48977,0.347123,7.72427,124.849,189.274,189.274,1.49135,2.74506,2.68485,1.93717,3,-2.14554e-09
35.0196,0,88.2347,48.1567,87.2336,-0.635823,0,-0.829165,-1.71023,-1.61507,5.90258,120.459,179.237,179.237,2.16676,2.16676,2.15811,1.84253,3,-2.14551e-09
56.9732,0,88.0731,49.1405,72.9175,-1.41269,0,-1.49371,-2.13949,-2.38379,6.45745,124.013,202.647,202.647,1.78613,2.48673,2.48541,0.983805,3,-2.14551e-09
38.7849,0,82.3083,48.9469,44.4452,2.12576,0,1.98122,1.72395,2.95512,5.96552,124.582,171.607,171.607,0.751355,2.97711,2.9736,2.96339,3,-2.14554e-09
33.5566,0,75.6553,47.154,31.7255,2.14372,0,0.0701836,-0.638091,-0.76863,4.01999,126.259,253.471,253.471,0.669005,3.56672,2.90206,0.67439,3,-2.14551e-09
66.3852,0,34.8439,31.7675,53.674,-0.662752,0,1.7711,-0.826159,1.08207,5.70161,119.528,228.817,228.817,2.2208,3.52694,2.55259,0.399994,3,-2.14551e-09
52.5245,0,72.1198,56.4492,59.95,-1.13895,0,0.908736,0.123731,1.11854,5.91308,124.805,250.746,250.746,1.56544,3.2835,2.56678,1.2921,3,-2.14554e-09
36.0039,0,72.483,36.5402,36.1739,2.24926,0,2.48536,1.19652,3.29445,6.49965,124.983,163.111,163.111,1.81224,2.15334,2.14036,2.28297,3,2.14551e-09
37.7593,0,97.3771,42.7239,62.4141,0.856935,0,1.95961,2.19462,2.832,5.00315,126.347,199.57,199.57,1.5476,3.04191,2.83502,1.03323,3,-2.14551e-09
57.09,0,79.2215,24.1059,80.9212,-1.20025,0,-1.19427,0.918313,-0.986157,6.76902,127.798,215.216,215.216,2.19576,2.93109,2.93109,0.29417,3,-2.14554e-09
41.0306,0,78.2915,48.5809,40.2971,-1.09704,0,-1.88655,-1.35936,-2.83116,6.24956,124.718,178.213,178.213,1.90047,2.77386,2.65913,0.400566,3,-2.14551e-09
41.1205,0,62.3373,51.7044,67.2439,-1.31287,0,-1.18639,0.177157,-1.04113,6.58403,124.356,188.305,188.305,0.927887,2.85258,2.84978,2.45183,3,-2.14554e-09
36.3851,0,70.8385,50.2044,30.5999,0.115285,0,-0.896065,-0.170773,-1.69974,5.29509,125.177,172.756,172.756,0.938936,2.81635,2.6285,1.72667,3,-2.14554e-09
45.6748,0,93.7556,41.2784,67.1821,0.0557749,0,-1.1471,-1.69756,-1.99205,3.60728,122.161,218.222,218.222,1.70889,3.27758,3.04887,0.976918,3,-2.14551e-09
43.4674,0,37.7524,18.189,51.6755,1.54852,0,-1.15081,2.08982,0.35439,7.7601,129.063,217.748,217.748,1.45232,3.72904,2.57282,2.82443,3,-2.14551e-09
37.5373,0,80.1272,52.1318,53.4902,-0.323886,0,-0.235602,0.178622,-0.180211,4.37243,123.929,172.144,172.144,1.25096,2.82155,2.82017,0.196002,3,-2.14551e-09
42.1003,0,80.1031,49.6431,40.9598,0.0371827,0,-1.57912,-1.39266,-2.61985,3.83437,123.673,213.155,213.155,1.70506,2.70917,2.1742,2.81732,3,-2.14551e-09
82.2128,0,82.4545,52.8883,56.7616,0.533664,0,0.673552,0.885173,1.43955,8.55024,123.66,218.115,218.115,1.2871,2.65838,2.6547,1.39786,3,-2.14554e-09
36.3618,0,76.521,55.775,60.233,2.80142,0,1.23831,1.92569,2.33489,4.80691,126.378,199.761,199.761,2.08165,2.65677,2.14827,0.230003,3,-2.14554e-09
81.282,0,83.1991,46.5646,64.1432,1.78462,0,0.0654328,-0.782752,-0.519456,8.59583,125.23,338.12,338.12,1.1011,3.32839,2.85001,2.33401,3,-2.14554e-09
39.4095,0,80.3053,51.2035,61.4523,2.3323,0,1.46139,2.22005,2.56421,7.93343,126.493,183.871,183.871,1.29814,2.85572,2.71968,0.654263,3,2.14554e-09
82.0077,0,47.0675,14.3908,50.0491,-0.456376,0,2.1112,-0.964581,1.96675,8.79982,120.932,270.967,270.967,2.36175,3.23909,1.97465,0.642854,3,-2.14554e-09
52.173,0,75.9754,59.8403,51.7675,-0.389039,0,-0.667118,-0.496881,-1.27603,7.27672,126.088,189.584,189.584,1.20282,2.08666,2.06805,0.724896,3,-2.14551e-09
89.2184,0,88.6953,38.2505,72.5575,-1.04134,0,-2.45201,-1.29064,-2.76777,9.60817,126.351,266.029,266.029,1.56971,3.00103,2.64881,0.527708,3,-2.14551e-09
51.5699,0,77.376,57.9039,58.9815,2.9197,0,1.30629,0.696429,1.81359,7.43179,128.61,265.58,265.58,1.31407,3.28129,2.85723,3.00006,3,-2.14554e-09
48.59,0,88.4374,52.5517,73.5786,0.0534214,0,-1.54488,-1.61743,-2.19136,5.18819,120.368,240.899,240.899,1.63131,2.99452,2.53231,2.00836,3,-2.14551e-09
37.2253,0,109.379,38.8092,79.1404,-2.02926,0,1.00525,1.4441,1.68973,5.46524,128.559,392.378,392.378,1.57978,4.12736,2.79765,1.54142,3,-2.14554e-09
57.4095,36.5972,40.5077,33.0829,54.9632,0.0486139,-2.51404,-1.51843,0.992222,-0.809852,170.698,127.765,195.922,337.463,1.63141,3.42954,3.05059,1.94021,3,-2.14554e-09
123.017,0,111.232,41.0435,144.235,1.15163,0,0.229674,1.78591,0.883868,14.6286,125.938,322.18,322.18,2.72016,3.04175,2.89866,0.157503,3,-2.14554e-09
100.752,0,131.96,35.7805,120.395,0.7256,0,1.18874,1.8754,1.6761,18.8372,126.321,287.931,287.931,1.62263,3.14104,3.10671,2.06161,3,-2.14554e-09
114.178,0,93.489,77.4649,117.931,-2.21183,0,0.521596,0.733712,0.851988,10.8563,125.078,612.522,612.522,0.610921,3.8586,2.72346,2.40539,3,-2.14554e-09
44.693,0,91.9696,41.6229,50.3485,2.25678,0,-0.301321,-0.110765,-0.611672,5.45815,124.304,304.934,304.934,0.777036,3.72413,2.70652,0.34073,3,-2.14551e-09
46.298,0,75.0591,51.2498,41.0679,1.90927,0,0.261908,0.924804,1.35526,6.88213,126.572,212.771,212.771,0.94481,3.42643,3.00443,0.876846,3,2.14554e-09
85.4236,84.7021,116.583,67.691,144.421,2.31423,0.295941,1.8016,1.38037,1.89526,228.311,120.501,270.387,461.048,1.77692,2.95645,2.91166,1.25689,3,-2.14554e-09
73.4199,0,67.1424,57.5846,86.0688,1.15261,0,-0.444591,0.834054,0.263585,6.96091,124.015,247.905,247.905,0.49203,3.21495,2.79014,3.00093,3,2.14551e-09
36.7413,0,47.922,41.2078,23.9324,-0.191042,0,0.964059,-0.818343,0.629556,5.35178,124.468,164.809,164.809,1.56893,2.44708,2.1573,0.168543,3,-2.14554e-09
40.4126,0,88.0866,44.5675,53.9786,1.35838,0,-0.14347,0.261918,-0.0161946,4.81532,123.845,206.14,206.14,1.2583,2.99636,2.59281,2.29489,3,-2.14551e-09
82.5471,0,69.6546,26.2058,61.2049,0.366934,0,-0.169087,1.8688,0.990748,8.78515,126.644,222.828,222.828,1.4016,2.67842,2.62424,2.26759,3,2.14551e-09
89.5845,0,77.5476,76.8882,117.065,0.863837,0,0.384034,-0.582078,-0.14308,14.898,127.114,289.892,289.892,0.602184,2.44436,2.39681,2.61962,3,2.14554e-09
33.527,0,61.1794,51.8068,61.3834,2.34448,0,0.528895,-0.78329,-0.177794,5.85739,123.631,268.352,268.352,2.73304,2.73304,2.04283,2.50197,3,-2.14554e-09
37.7935,0,99.3373,41.3862,66.3623,-0.562818,0,0.935219,1.24252,1.68494,5.58759,125.66,219.911,219.911,1.42527,3.0964,2.7099,1.63437,3,2.14551e-09
53.5661,0,95.697,41.006,96.6757,0.201818,0,0.0711113,-1.16825,-0.521739,10.703,127.205,215.579,215.579,0.965927,2.83206,2.82904,2.49084,3,-2.14554e-09
55.2382,0,77.575,51.5,46.5047,0.417076,0,0.407437,0.0171448,0.667025,9.60179,122.939,187.79,187.79,0.460614,2.49428,2.49426,2.27941,3,2.14551e-09
81.9551,0,102.642,42.3666,84.4116,2.12096,0,-0.992698,-0.257072,-1.2199,10.035,127.92,506.753,506.753,1.06115,3.89846,2.34586,2.72081,3,-2.14551e-09
36.6315,0,72.6987,40.0738,60.8849,1.39391,0,-0.277343,1.15787,0.576311,5.45558,126.945,195.286,195.286,1.017,2.80427,2.25186,3.05287,3,-2.14551e-09
90.2103,0,100.681,66.0689,110.586,-1.69715,0,-1.11759,-0.888568,-1.37278,12.4443,126.2,267.754,267.754,1.88281,3.00127,2.94477,0.0639821,3,-2.14551e-09
60.5029,0,67.0719,56.8941,61.1912,2.23177,0,0.0900184,1.10727,1.10974,6.21776,126.192,264.815,264.815,1.17889,3.11993,2.26867,2.29805,3,-2.14554e-09
51.9196,0,86.9646,59.8199,74.8985,-2.88968,0,-0.431009,-0.319903,-0.713789,5.71821,126.492,342.614,342.614,3.21527,3.21527,2.07192,1.63416,3,-2.14554e-09
73.2481,0,104.817,16.1941,89.431,1.74302,0,1.98118,0.0426647,2.13662,6.6729,123.652,224.44,224.44,1.27137,2.88719,2.87735,1.29852,3,-2.14554e-09
47.5997,0,102.634,37.667,71.5587,-2.78105,0,-2.17325,-1.69261,-2.72577,7.58128,124.395,197.369,197.369,1.69111,2.41241,2.33459,1.30061,3,-2.14554e-09
35.9106,0,49.7791,42.1089,37.3047,0.554133,0,0.503957,2.27269,2.51145,5.19829,124.529,175.036,175.036,2.3201,2.3201,2.31955,2.4505,3,2.14551e-09
167.25,0,99.7713,71.2626,159.196,2.20515,0,0.0437742,1.27186,0.703655,11.2563,126.688,501.263,501.263,2.43736,3.5433,2.80774,0.636593,3,-2.14551e-09
47.707,0,70.386,44.0001,58.6817,1.33703,0,1.70648,0.459519,1.97996,6.78742,122.937,184.212,184.212,1.76339,2.61892,2.59273,1.31604,3,-2.14554e-09
54.209,0,51.3276,34.3857,34.6672,-0.670359,0,1.11113,-0.908494,0.863477,6.07043,127.078,202.101,202.101,1.91521,3.01606,2.4337,0.241665,3,-2.14551e-09
34.1661,0,68.7209,58.9631,23.3157,0.548901,0,1.94874,2.13955,3.72525,5.03177,126.125,194.894,194.894,2.11682,2.11682,1.58789,1.2896,3,-2.14554e-09
33.954,0,70.8981,55.0546,15.8714,1.29012,0,-1.01462,-1.18121,-3.04393,6.75712,125.382,250.437,250.437,2.84283,2.84283,1.66429,0.241105,3,2.14551e-09
81.7677,0,53.9279,39.9854,70.6569,1.28056,0,-0.146331,1.91771,1.33674,10.5542,129.52,236.243,236.243,0.157503,3.03634,2.68017,2.62191,3,-2.14554e-09
149.259,0,167.837,54.5437,185.759,-2.80856,0,-2.04658,-1.64593,-2.13559,14.1969,128.203,406.701,406.701,1.65677,2.7887,2.68258,2.4037,3,-2.14554e-09
65.5983,0,82.777,28.542,57.0598,0.453268,0,0.547645,2.00047,1.7015,8.58037,122.736,207.179,207.179,1.6249,3.01347,3.01199,1.16233,3,-2.14554e-09
46.6562,0,94.8985,44.0877,68.9489,-1.61936,0,0.941511,1.51221,1.77847,6.44003,126.346,356.264,356.264,3.448,3.448,2.30881,0.738966,3,-2.14554e-09
37.9041,0,71.7951,38.1449,41.2516,0.271979,0,0.289844,-1.05171,-0.611573,5.87343,126.882,174.968,174.968,0.454672,2.58855,2.58849,2.23818,3,-2.14551e-09
57.0418,0,107.958,43.4153,84.6875,-0.303814,0,0.513131,0.253706,0.74409,7.76529,126.725,217.101,217.101,1.86112,3.12804,3.01948,1.14189,3,-2.14551e-09
49.2815,0,67.8302,53.6388,40.7783,-0.886796,0,-1.02774,-1.87109,-2.52373,7.15218,125.843,186.513,186.513,1.87502,2.49942,2.49544,1.41244,3,2.14551e-09
110.631,0,122.497,32.0406,90.834,-2.50708,0,-0.395658,0.0771802,-0.499343,13.3544,128.549,442.317,442.317,0.682002,3.38225,2.64226,0.0460504,3,-2.14554e-09
32.9293,0,79.9013,50.4329,38.5486,-1.74497,0,-0.240299,-0.252809,-0.761427,6.31615,124.506,195.611,195.611,0.251392,3.20958,2.83503,2.90888,3,2.14551e-09
97.3559,0,131.124,54.486,154.485,-0.277574,0,2.30472,1.53254,2.31028,14.4738,122.725,494.083,494.083,2.60128,3.36175,2.15246,0.720201,3,-2.14554e-09
71.393,0,82.008,79.0647,103.1,0.297299,0,-0.236981,-0.397123,-0.483789,5.94784,124.425,239.962,239.962,2.15886,2.15886,2.09171,2.54965,3,-2.14554e-09
106.498,0,118.38,20.1704,102.566,-1.16284,0,0.650452,-0.869767,0.578546,11.9368,123.866,347.626,347.626,0.869926,3.35709,2.82525,0.947873,3,-2.14551e-09
90.2301,0,123.405,22.6463,108.155,0.49789,0,0.877235,-0.464818,0.904836,8.53306,124.375,255.238,255.238,1.25094,2.93161,2.90696,2.1579,3,-2.14551e-09
241.641,0,292.355,23.3226,290.831,-0.404286,0,0.465654,0.436732,0.500219,29.2538,122.782,609.284,609.284,0.916512,3.22105,3.10135,2.39243,3,-2.14551e-09
103.144,0,108.066,68.4862,137.225,-0.638844,0,1.09106,0.447313,1.06058,6.5438,124.557,362.901,362.901,0.568198,3.28963,2.79805,2.43182,3,-2.14554e-09
45.6559,0,48.3904,43.0117,66.1162,-1.3063,0,1.48236,-0.529404,0.995045,6.43443,125.139,248.525,248.525,1.67082,3.30361,1.77122,1.39962,3,-2.14554e-09
67.1402,0,80.2494,73.707,106.419,1.78484,0,1.09398,0.288625,1.01746,10.5366,128.163,259.895,259.895,2.55591,2.55591,2.46076,2.66813,3,-2.14551e-09
41.2168,0,59.9447,52.715,28.7762,1.85655,0,1.48262,0.599178,2.40884,4.98718,120.395,169.035,169.035,0.762389,0.788739,0.694468,2.86395,3,-2.14551e-09
40.8138,0,73.9496,54.3104,27.7449,2.78854,0,1.70147,1.32641,3.04585,8.07287,127.485,192.969,192.969,1.48394,2.79751,2.57766,2.5501,3,-2.14554e-09
48.6782,0,86.8237,44.33,58.1568,-2.51118,0,1.38643,2.06732,2.45217,8.6121,125.194,663.339,663.339,2.49884,4.72004,2.66221,0.272857,3,-2.14554e-09
49.7835,0,84.7432,39.5657,55.8985,-1.3122,0,-0.763116,-1.7729,-1.90816,6.64738,126.679,188.175,188.175,2.23,3.17749,3.12969,0.788129,3,-2.14551e-09
40.9094,0,82.2459,44.0901,47.8656,0.821671,0,-0.460048,-1.20529,-1.53705,5.136,125.613,215.233,215.233,0.847112,2.55224,2.20706,1.49575,3,-2.14554e-09
57.9308,0,84.8217,24.0209,62.1699,-2.36341,0,-1.76402,0.0610423,-2.05531,4.75718,129.9,226.738,226.738,2.05201,2.85953,2.79601,1.41706,3,-2.14551e-09
32.4115,0,50.0004,17.1826,39.614,2.38363,0,-0.248529,2.45452,1.52512,3.91486,118.77,201.122,201.122,0.969555,3.95427,2.95093,1.83159,3,-2.14554e-09
37.1766,0,59.6146,39.6259,22.7373,-0.239302,0,-0.0113156,1.54973,2.06762,4.31388,127.893,178.156,178.156,1.54995,2.6378,2.62793,0.763062,3,-2.14554e-09
40.2125,0,69.9626,24.1974,57.3029,0.421778,0,1.25162,-0.73453,1.25992,6.17495,121.515,174.997,174.997,1.13325,2.98589,2.86826,2.00113,3,-2.14551e-09
35.5542,0,73.0583,33.5018,60.8774,-0.467055,0,0.707768,2.33904,2.03205,6.20886,125.463,222.168,222.168,2.93029,2.93029,2.68447,2.99743,3,-2.14551e-09
35.0366,0,87.0187,44.7291,47.7862,1.76011,0,-0.152051,-0.327792,-0.560489,6.2768,123.266,229.079,229.079,0.60308,3.5771,3.02313,0.0291801,3,-2.14554e-09
56.6214,0,85.2932,51.4417,46.9396,1.79691,0,1.81747,1.86655,2.88278,6.73652,128.467,193.161,193.161,1.29829,2.34124,2.34115,2.34741,3,2.14554e-09
41.0287,0,80.3665,30.2893,63.0164,-0.357215,0,-0.543264,0.959853,-0.190728,5.86693,122.025,177.529,177.529,1.77958,2.41868,2.41151,0.0277464,3,-2.14551e-09
185.734,0,241.586,16.997,230.944,0.842205,0,0.410623,1.1497,0.522188,9.67954,126.004,454.363,454.363,0.898256,3.1488,3.11909,2.24503,3,-2.14551e-09
33.4552,0,78.7904,47.0129,43.6548,1.13671,0,0.293704,-0.434785,0.0545969,4.08488,126.392,184.244,184.244,0.881003,3.05616,2.9376,0.0653471,3,-2.14551e-09
49.9365,0,45.5313,40.9517,79.6707,2.18901,0,0.00701617,2.21026,1.57792,7.1629,120.38,216.662,216.662,2.88672,3.39138,2.59622,0.419925,3,2.14551e-09
45.8948,0,60.5284,29.9867,33.9719,-0.972151,0,0.216548,-1.63459,-1.34461,9.30672,123.493,177.893,177.893,0.669849,3.21347,2.98553,2.35165,3,2.14554e-09
37.6218,0,59.9652,58.3023,8.47067,-2.06843,0,0.326654,1.00024,3.04156,4.26139,124.75,297.387,297.387,3.24808,3.24808,2.19399,1.23986,3,-2.14551e-09
62.5852,41.5734,67.7733,50.9592,16.8174,0.699866,-0.0458208,-0.081658,0.672873,1.38245,109.133,126,183.228,238.355,1.59928,1.80617,1.62834,2.93623,3,2.14554e-09
90.6165,32.5389,88.6785,44.5513,76.0167,-1.90216,1.60014,-0.81442,0.0784971,-0.890247,322.556,123.841,289.428,472.528,1.80019,2.36265,2.09736,3.0358,3,-2.14554e-09
54.649,0,82.9976,57.1832,62.4498,-0.846564,0,-0.558709,-0.74244,-1.20899,9.61221,126.14,196.896,196.896,0.618978,2.3723,2.35477,2.08835,3,-2.14554e-09
44.1115,0,65.0357,23.9849,59.2793,-0.845707,0,1.90957,-0.315087,1.96351,9.77169,126.051,263.262,263.262,1.67804,3.85336,2.69385,1.08015,3,-2.14551e-09
43.0755,0,111.83,33.6601,82.9241,-0.526415,0,0.656382,0.26249,0.921736,4.84305,121.995,207.185,207.185,0.870241,3.27503,3.05398,2.42492,3,-2.14554e-09
36.4864,0,61.7593,60.3116,41.3102,0.778989,0,0.491391,1.14679,1.76351,4.42736,121.872,161.053,161.053,0.98,0.98,0.93685,2.80701,3,-2.14551e-09
41.4261,0,76.5575,53.7449,41.2048,0.379933,0,0.930007,0.445366,1.67954,3.34368,127.54,177.028,177.028,1.24376,2.14516,2.07344,0.448398,3,2.14551e-09
155.461,0,162.576,45.7595,180.986,-1.43701,0,-0.0598874,0.714316,0.142053,10.56,123.83,490.223,490.223,0.739865,3.20001,2.88853,1.91947,3,-2.14551e-09
44.8144,0,88.1451,50.7953,66.2014,1.36981,0,0.526402,1.06967,1.311,3.26274,127.578,194.237,194.237,0.790063,2.88628,2.7603,2.93373,3,2.14554e-09
121.853,0,79.9935,56.9192,135.412,-0.768228,0,0.0953705,-1.55032,-0.801047,7.08472,125.646,306.718,306.718,1.03738,3.22939,3.11178,2.13842,3,2.14551e-09
67.8257,0,78.9256,55.0325,61.1402,0.540839,0,1.76137,2.35411,2.81798,9.08693,125.61,258.804,258.804,2.13897,3.10518,2.85525,1.64167,3,-2.14551e-09
33.661,0,66.3457,66.3054,35.1013,-0.0800765,0,-2.44719,-2.10245,-3.60925,5.03981,129.97,246.41,246.41,2.73857,2.73857,1.37715,0.8818,3,-2.14551e-09
155.992,0,115.022,96.3421,177.305,0.185427,0,0.482581,-0.0526802,0.292527,10.1064,128.41,374.76,374.76,0.76142,2.64422,2.62747,2.0385,3,2.14551e-09
42.9912,0,77.1919,50.4572,29.4638,1.8288,0,-0.190115,-0.237322,-0.817267,5.79951,124.237,246.292,246.292,1.03133,3.68588,3.08377,2.07011,3,-2.14551e-09
98.9211,0,121.648,44.1218,110.694,1.8474,0,1.51107,1.87184,2.00178,6.90385,126.225,268.31,268.31,1.61775,2.68424,2.66309,1.08714,3,-2.14551e-09
49.9998,0,95.9474,33.1492,64.5214,-1.45607,0,-0.305097,-1.31808,-1.10965,6.71153,126.71,200.81,200.81,1.09938,2.42181,2.13083,1.07464,3,-2.14554e-09
53.0751,0,86.912,45.7575,72.0615,-0.903421,0,-0.291597,0.551954,0.0118526,5.62419,124.137,212.398,212.398,0.568342,2.58822,2.51487,1.73856,3,-2.14551e-09
85.1164,0,116.997,44.3011,107.81,-0.403091,0,0.865698,0.555197,1.07926,7.85087,122.057,287.935,287.935,1.02188,2.96883,2.68405,2.48718,3,-2.14551e-09
119.522,0,144.729,114.152,231.626,-0.77215,0,0.877765,1.2493,1.14405,7.05743,125.202,517.112,517.112,2.96524,2.96524,2.46383,1.55187,3,-2.14551e-09
32.5415,0,88.2928,42.9857,49.9852,1.75375,0,1.92907,1.46077,2.73906,5.14415,124.833,165.712,165.712,1.0875,2.44502,2.43872,3.01331,3,-2.14554e-09
40.0909,0,80.4988,51.3411,62.8857,-2.32066,0,-1.15668,-1.83028,-2.16809,5.06481,123.993,190.9,190.9,1.36029,2.68294,2.41729,3.13316,3,2.14551e-09
36.5356,0,67.5805,62.5208,36.8436,-2.23209,0,-1.05999,-1.28708,-2.34495,6.29321,125.649,184.355,184.355,1.0656,2.53124,2.24351,2.35275,3,-2.14554e-09
35.9903,0,59.9582,57.4329,38.8774,-1.62538,0,-1.57224,-0.527377,-2.18085,7.29658,127.998,174.822,174.822,1.29428,2.00857,2.00787,2.98947,3,-2.14554e-09
40.5615,0,61.2237,54.7055,51.2399,-0.437984,0,0.216883,1.34296,1.51572,5.21257,124.617,198.04,198.04,1.93201,1.93201,1.81764,1.54073,3,2.14551e-09
90.8497,0,96.3044,46.3292,80.7063,0.260406,0,-0.136223,0.459655,0.109977,6.36906,124.348,239.801,239.801,0.829206,2.83703,2.80916,2.65608,3,-2.14551e-09
62.0541,0,52.0082,49.1808,67.5815,2.86806,0,1.54796,-0.142676,1.2612,11.3114,122.06,313.608,313.608,2.85261,2.85261,2.52877,1.99242,3,-2.14551e-09
114.688,0,150.252,16.3605,143.858,-1.74684,0,0.0787426,-1.61454,-0.190966,18.6627,126.357,403.71,403.71,1.87451,3.50305,2.98975,0.318069,3,-2.14554e-09
44.3153,0,76.4906,52.0183,33.1045,-1.32358,0,-1.18797,-1.18055,-2.45062,8.86913,124.173,173.585,173.585,1.93595,2.53339,2.52975,0.567205,3,2.14551e-09
35.7471,0,62.2394,33.0766,49.7488,-2.55003,0,-0.369297,1.4707,0.807293,4.95296,125.627,323.819,323.819,1.50407,3.75897,3.06174,0.685249,3,-2.14551e-09
43.7507,0,55.63,32.2597,79.8903,0.0798478,0,1.58241,-0.762104,1.06894,5.27268,128.994,197.043,197.043,1.08219,3.46252,3.11951,3.03771,3,-2.14551e-09
70.2129,46.0951,91.4873,35.357,58.2918,0.901752,-0.963948,0.430998,1.24239,1.28064,164.394,122.232,205.182,314.875,0.910912,2.61686,2.57417,2.58174,3,-2.14554e-09
32.6494,0,78.7766,34.5369,56.3592,1.99335,0,-0.243285,1.18992,0.54331,4.44385,127.58,217.654,217.654,0.685497,3.5095,2.70445,2.06358,3,-2.14551e-09
42.1527,0,75.9134,51.8214,38.9995,1.89649,0,1.85795,2.04605,3.10588,5.08099,122.208,170.739,170.739,1.20452,2.44067,2.44036,0.960853,3,-2.14554e-09
97.928,0,95.5741,44.7126,65.6313,-1.76381,0,-0.365974,-0.15054,-0.609432,7.17634,124.788,302.108,302.108,1.48353,3.24098,2.92404,0.61263,3,2.14551e-09
33.7462,0,78.7788,47.4719,51.7172,-2.8642,0,0.0202109,-0.725452,-0.64863,5.60163,124.266,281.785,281.785,1.37844,4.12856,2.95384,1.95105,3,-2.14551e-09
131.168,0,92.8475,49.8254,119.477,1.8985,0,2.42153,1.08849,2.29081,20.1947,124.873,305.366,305.366,2.11943,2.81893,2.76998,2.17233,3,2.14554e-09
109.384,0,153.983,20.7908,156.015,1.07985,0,1.34681,-0.20776,1.32158,14.4868,125.025,304.574,304.574,1.34847,2.73738,2.72433,2.79113,3,2.14554e-09
