nbjet,njjet,ptb1,ptb2,pta1,pta2,ptaa,etab1,etab2,etaa1,etaa2,etaaa,mbb,maa,mb1h,mbbh,drbamin,drba1,dphiba1,dphibb,class,weight
1,0,59.1306,0,65.8486,50.332,22.3357,-2.2892,0,-1.1678,-0.458247,-2.3788,7.74291,121.404,222.889,222.889,1.39355,2.51581,2.25205,3.01247,4,6.06e-09
2,1,74.918,54.2846,85.7048,41.9387,56.5249,1.82024,-2.11692,-0.528757,-1.36744,-1.53019,465.714,125.609,398.204,636.993,2.98308,2.98308,1.83875,3.08602,4,6.06e-09
1,0,93.189,0,76.8167,56.5671,53.7042,-2.93141,0,-1.18806,-0.737873,-1.81146,17.1495,125.709,338.273,338.273,1.72715,3.40038,2.91948,0.56576,4,6.06e-09
1,1,44.0336,0,94.346,53.3301,81.5921,-0.37563,0,-1.90704,-1.48528,-2.34642,7.1567,126.725,227.494,227.494,1.9961,2.88371,2.44347,3.03304,4,6.06e-09
1,0,42.3763,0,34.553,28.7995,35.4752,-2.90652,0,-1.8768,0.785507,-1.61002,6.71204,122.856,267.252,267.252,2.97499,2.97499,2.7911,2.82956,4,6.06e-09
1,1,40.7558,0,136.836,29.4085,126.582,-0.260801,0,0.315322,-0.677922,0.175789,6.54454,126.18,204.525,204.525,0.960993,2.75163,2.69064,2.24387,4,6.06e-09
1,2,44.2033,0,94.7387,39.6508,61.9545,1.4031,0,-1.07799,-0.799381,-1.66732,4.52435,120.481,293.966,293.966,1.13963,3.6324,2.65302,2.28328,4,6.06e-09
2,0,66.8588,38.914,66.022,60.7172,18.0017,-0.922655,1.0967,-0.141902,-0.0035914,-0.511672,158.359,125.76,204.305,288.04,1.82765,2.12546,1.97687,2.89659,4,6.06e-09
1,2,73.4634,0,85.9753,27.9753,113.89,-0.775509,0,0.673757,-1.49207,0.0295174,5.97694,128.284,253.286,253.286,2.58628,2.92709,2.54312,0.04615,4,6.06e-09
1,1,51.41,0,55.1178,48.9654,6.82515,-2.60771,0,0.872538,-0.342836,2.40015,7.18546,123.648,364.215,364.215,0.967867,4.42469,2.73236,3.13197,4,6.06e-09
2,1,40.1068,33.5165,59.4443,41.1714,96.709,-2.21671,-0.62104,0.937237,-1.10589,0.0912825,71.5741,122.777,285.075,314.121,1.85477,3.72305,1.97831,0.756902,4,6.06e-09
1,1,41.7773,0,67.0294,61.1047,5.92506,-0.691198,0,0.585334,0.358212,3.073,4.99413,128.823,188.618,188.618,0.565706,1.8411,1.32669,1.37803,4,6.06e-09
1,0,36.9569,0,86.5846,44.5027,42.082,-0.803145,0,-0.0916107,0.0139012,-0.173186,4.32638,124.322,176.089,176.089,0.30766,2.9029,2.81435,0.0186172,4,6.06e-09
1,0,35.0498,0,60.5812,53.8321,17.2995,0.22189,0,1.12394,1.89269,3.39636,3.51504,121.718,180.545,180.545,1.98852,2.47028,2.29969,2.34307,4,6.06e-09
1,0,127.742,0,101.708,58.4049,101.713,1.49153,0,0.929066,0.53527,1.13262,21.6598,127.372,308.456,308.456,0.870074,2.45839,2.39318,1.34214,4,6.06e-09
1,1,35.8485,0,70.2581,56.8645,21.5952,-1.09908,0,-0.823194,-0.893619,-2.43604,5.60375,125.354,163.002,163.002,0.828903,1.8609,1.84034,1.93746,4,6.06e-09
1,1,34.366,0,64.6237,54.5542,28.5202,1.21598,0,1.51044,0.718127,2.5517,3.82186,125.385,161.625,161.625,1.4599,1.4599,1.42989,2.64718,4,6.06e-09
1,0,40.3332,0,73.9827,51.7744,30.6806,-1.00606,0,0.228817,0.610048,1.27577,5.87567,124.246,200.171,200.171,1.47225,2.88633,2.60883,0.463427,4,6.06e-09
1,1,72.7628,0,119.627,54.4268,119.56,-1.32095,0,0.901438,0.702254,1.12382,7.06283,127.512,381.454,381.454,1.20102,3.43437,2.61837,2.83757,4,6.06e-09
1,0,39.9043,0,61.3506,50.512,83.6172,-0.547641,0,1.67561,0.0520612,1.40845,3.26013,125.098,216.659,216.659,0.58842,3.55954,2.77984,0.732292,4,6.06e-09
1,0,57.7508,0,85.4694,49.4444,60.807,-0.821104,0,-1.86674,-2.22053,-2.79341,4.40403,122.632,223.431,223.431,2.24939,2.45778,2.22426,1.33078,4,6.06e-09
1,0,91.3932,0,110.327,34.5843,77.2326,1.58287,0,-0.0757098,-0.446255,-0.309804,9.75256,124.757,330.194,330.194,0.626566,3.33158,2.88938,0.937048,4,6.06e-09
1,1,55.2168,0,36.433,35.6995,6.47819,-1.59371,0,0.14744,2.49914,4.22395,5.85487,127.847,382.855,382.855,3.54546,3.54546,3.08847,1.4373,4,6.06e-09
1,0,50.1076,0,82.6016,34.361,48.8333,-1.48936,0,1.15982,-0.101035,1.59434,6.03669,128.211,289.755,289.755,1.72015,3.16563,1.73292,3.01483,4,6.06e-09
1,0,91.9669,0,62.7817,41.0034,73.4949,1.27809,0,0.820334,-0.896946,0.210224,12.3171,122.558,267.168,267.168,1.836,1.836,1.77802,1.18178,4,6.06e-09
1,1,38.5767,0,68.687,61.6148,38.4232,1.75994,0,0.0829574,-0.15268,-0.0971658,6.76172,125.452,215.946,215.946,0.609941,1.71609,0.364261,2.32632,4,6.06e-09
1,1,57.4079,0,99.3308,30.2596,98.4838,-0.332063,0,-2.43105,-0.916614,-2.49387,5.3851,124.14,262.119,262.119,1.68005,2.52975,1.41205,1.71119,4,6.06e-09
1,0,42.1936,0,68.387,60.3421,8.6314,0.666388,0,1.64615,1.53542,4.25616,3.00492,128.636,179.537,179.537,1.27502,1.27502,0.815925,2.27701,4,6.06e-09
1,0,47.2395,0,82.6109,47.0679,41.1245,-1.27142,0,1.22496,0.944283,2.18134,6.48415,124.233,296.159,296.159,1.85067,3.86592,2.95185,1.5646,4,6.06e-09
1,0,62.1037,0,69.5891,68.5684,92.6412,-1.4848,0,-0.556342,0.410798,-0.126784,9.11507,123.803,261.982,261.982,0.426168,2.47819,2.2977,2.42715,4,6.06e-09
1,0,33.118,0,66.4325,27.8593,91.928,0.361618,0,-1.77516,0.508337,-1.40277,4.36313,122.821,197.134,197.134,2.68941,2.87098,1.91747,0.230805,4,6.06e-09
1,0,71.5753,0,123.933,30.6602,95.6735,0.501911,0,-0.608821,-0.715877,-0.942117,6.84856,121.611,257.92,257.92,0.715887,3.15674,2.95487,2.95171,4,6.06e-09
1,0,66.1932,0,49.8734,39.8209,63.1238,1.29825,0,0.179169,2.20709,1.81036,8.50209,124.258,206.509,206.509,2.39911,2.87122,2.64415,1.10548,4,6.06e-09
2,1,86.2265,79.0748,63.825,51.0537,100.982,-2.84242,-0.138086,0.943406,-0.825831,0.220336,335.344,127.098,535.865,663.724,2.12789,4.1418,1.67989,2.33923,4,6.06e-09
1,1,41.0285,0,64.8897,53.9164,17.8568,0.113481,0,-0.255627,0.553577,0.747491,7.25304,127.337,168.618,168.618,0.8273,2.23163,2.20089,1.41407,4,6.06e-09
1,2,42.8145,0,65.7606,51.8485,14.9955,-0.0805441,0,2.25783,1.78352,4.11881,3.52098,119.952,239.566,239.566,2.34985,2.39672,0.525604,0.990136,4,6.06e-09
1,1,43.4492,0,52.7594,49.1004,39.0139,-2.03533,0,-0.929385,0.567877,-0.646105,6.67135,125.817,225.787,225.787,1.03064,2.44032,2.17533,1.04334,4,6.06e-09
1,1,51.8456,0,69.3319,47.8818,21.909,1.66423,0,0.581366,-0.239593,1.14754,10.9846,125,216.775,216.775,0.492875,3.17486,2.98448,0.665272,4,6.06e-09
1,0,39.8213,0,47.6803,46.93,22.5283,-0.0498833,0,-0.788037,-2.39385,-3.27191,7.32209,124.76,203.27,203.27,1.01287,1.01287,0.69357,1.69714,4,6.06e-09
1,1,43.922,0,103.925,49.6042,109.094,1.86356,0,1.27398,2.09045,1.93233,6.58411,123.699,200.694,200.694,2.09233,2.71273,2.64788,1.84366,4,6.06e-09
1,4,219.105,0,229.278,65.5446,268.388,1.29161,0,-0.653888,-0.851778,-0.758513,15.037,124.413,783.896,783.896,2.70296,3.66625,3.10748,0.484806,4,6.06e-09
1,0,37.0394,0,65.4277,62.167,44.4015,1.0915,0,0.803503,0.313752,1.33189,6.18916,123.71,172.759,172.759,1.02429,2.02142,2.0008,1.36555,4,6.06e-09
1,0,54.4164,0,64.5987,47.8875,37.0907,-0.129765,0,-1.43175,-0.433762,-2.09834,11.1293,120.925,178.418,178.418,1.30212,1.30212,0.0192153,0.767137,4,6.06e-09
1,0,45.621,0,87.475,38.3098,53.4661,-0.446762,0,0.709347,-0.17121,0.975061,5.35865,125.435,195.39,195.39,0.88443,2.90601,2.66614,1.3382,4,6.06e-09
1,0,48.5672,0,80.4829,52.5032,43.4989,1.06556,0,2.20899,1.83198,3.17945,5.64745,128.066,202.529,202.529,2.53215,2.87607,2.63901,0.727302,4,6.06e-09
1,0,34.1932,0,68.6946,56.4376,27.2472,0.481697,0,0.251082,0.135035,0.823836,5.66115,122.343,158.785,158.785,0.831488,1.36528,1.34567,3.00973,4,6.06e-09
2,0,117.198,104.12,87.7508,26.5125,97.1003,-1.53637,1.38074,1.61575,-0.317003,1.48567,495.476,124.032,529.541,750.112,1.44367,3.96904,2.41192,2.44685,4,6.06e-09
1,0,33.6358,0,64.6965,39.6936,42.8356,1.89563,0,-0.520404,0.933513,0.173447,5.6108,124.568,215.225,215.225,1.14392,3.89865,3.05978,2.05064,4,6.06e-09
1,1,40.1346,0,71.4603,63.6409,70.1279,1.49672,0,0.654773,0.0471996,0.70015,4.60835,122.742,198.997,198.997,0.786415,2.77567,2.64489,2.20932,4,6.06e-09
1,0,42.1101,0,75.0522,43.813,54.9897,1.49829,0,1.17566,2.26203,2.45573,4.03825,124.028,176.185,176.185,1.70688,2.07319,2.04794,0.810504,4,6.06e-09
1,0,38.7117,0,65.4768,24.657,40.8243,1.41904,0,0.94122,-1.14677,0.799802,6.70552,128.278,194.304,194.304,1.2453,2.89973,2.86009,0.752089,4,6.06e-09
2,2,154.389,55.0894,108.809,56.6758,106.525,0.187876,-2.15896,-1.20444,-1.23664,-1.60519,288.797,126.665,393.79,513.66,0.92811,3.42683,3.13123,1.1519,4,6.06e-09
1,1,67.9962,0,89.297,66.3968,104.223,-0.82464,0,-0.982937,-0.302015,-1.00299,9.43015,127.417,221.111,221.111,1.04491,3.02055,3.0164,0.316755,4,6.06e-09
1,0,72.3748,0,71.4107,65.4098,62.5738,-1.15052,0,-0.56589,-0.390023,-0.949638,8.52225,122.267,219.983,219.983,0.638714,2.44518,2.37426,1.20778,4,6.06e-09
1,0,70.0045,0,57.3455,45.6205,33.643,-1.74725,0,0.445882,1.90219,2.35607,9.08691,126.772,423.324,423.324,3.64276,3.64276,2.90859,2.29321,4,6.06e-09
2,0,57.96,44.04,68.5108,55.468,27.1369,-0.155217,2.01052,1.92686,1.62525,3.29543,165.794,122.404,264.056,328,0.801317,2.57368,1.51287,2.71981,4,6.06e-09
2,0,96.3828,43.4703,54.7526,47.5778,32.6704,1.69758,-1.25769,-0.985567,0.473673,-1.0265,298.113,126.523,338.169,468.272,1.74542,2.92465,1.16376,2.83396,4,6.06e-09
1,1,40.1414,0,49.1143,46.4209,7.85295,-0.463651,0,0.740201,-0.75859,0.136595,6.56829,123.371,163.326,163.326,1.24972,1.45502,0.817198,1.48589,4,6.06e-09
1,0,89.1511,0,95.2588,70.8805,112.018,-1.73903,0,-1.4065,-1.39027,-1.76097,10.1729,122.703,257.895,257.895,1.43256,2.58897,2.56753,2.29556,4,6.06e-09
1,0,38.565,0,58.9731,32.8681,42.2703,-0.00493919,0,1.8356,0.00447414,2.1571,4.6241,123.203,188.216,188.216,1.83842,2.77556,2.07754,0.601411,4,6.06e-09
1,1,54.9839,0,53.1023,35.3383,51.9307,-0.611312,0,0.0922746,2.11479,1.77762,9.70921,125.705,225.434,225.434,1.93348,1.93348,1.80092,2.50786,4,6.06e-09
1,0,36.599,0,67.1316,38.5084,42.7218,1.46579,0,0.12938,1.59457,1.58319,5.64389,126.298,178.851,178.851,1.32622,2.79606,2.456,0.451987,4,6.06e-09
1,1,96.0616,0,109.273,74.8954,134.312,-0.440493,0,1.15904,1.21853,1.45666,14.8357,126.123,366.373,366.373,1.41725,3.31997,2.90924,2.09363,4,6.06e-09
1,1,57.8684,0,104.205,40.2906,75.8281,0.682646,0,1.03697,1.40071,1.72154,5.92385,125.262,201.78,201.78,0.736814,2.6896,2.66615,2.66963,4,6.06e-09
1,2,38.1769,0,97.4093,49.7079,77.4915,0.12734,0,1.51502,1.38504,2.0757,5.113,125.381,193.847,193.847,1.59932,1.59932,0.795093,0.646564,4,6.06e-09
1,0,48.4184,0,86.4973,46.8025,48.5413,-0.198648,0,1.86067,1.82436,2.83656,5.29272,124.169,265.837,265.837,2.00096,3.71254,3.08903,0.43174,4,6.06e-09
1,1,69.046,0,78.6633,71.0294,75.622,-1.5341,0,-0.412706,-0.274059,-0.654504,8.1009,129.602,253.82,253.82,2.35851,2.35851,2.07486,0.363286,4,6.06e-09
2,2,55.6475,50.4655,103.013,61.6082,105.486,-1.6849,1.35603,-0.423397,-0.768576,-0.823906,244.768,129.37,241.04,410.902,2.29427,2.29427,1.91632,1.71077,4,6.06e-09
1,0,59.8108,0,37.2358,30.7059,51.4181,-0.0120325,0,-0.220311,2.46515,1.91701,5.56421,128.572,221.632,221.632,2.21566,2.21566,2.20585,1.79748,4,6.06e-09
1,0,40.8887,0,68.9156,55.6119,55.0552,-1.22873,0,-0.19042,0.728304,0.536535,9.03174,126.273,214.475,214.475,0.758321,2.32639,2.08183,2.16328,4,6.06e-09
1,1,181.72,0,126.459,41.0855,117.709,0.481431,0,1.34746,1.09171,1.60504,13.9359,120.655,372.498,372.498,1.42524,3.16816,3.0475,2.04608,4,6.06e-09
2,1,48.4529,39.5366,74.8456,66.5027,66.8675,-1.71683,1.53278,0.0625858,0.0209924,0.0908532,231.099,124.566,230.847,368.767,1.7804,1.7804,0.0593121,3.01581,4,6.06e-09
1,0,40.6571,0,55.374,30.2998,42.2866,0.981493,0,1.40682,-0.682275,1.43702,5.34283,126.32,176.392,176.392,0.958373,2.745,2.71184,0.614014,4,6.06e-09
1,1,44.1799,0,64.1043,58.7926,11.7823,2.22786,0,-0.472944,0.0292541,-1.65617,4.32775,126.236,285.489,285.489,0.554428,2.70091,0.0231767,2.73628,4,6.06e-09
1,1,37.6527,0,100.411,35.0291,65.4401,1.94241,0,-0.939416,-0.246167,-1.34855,6.09323,125.781,312.534,312.534,0.942907,3.50851,2.00119,2.08225,4,6.06e-09
1,0,43.3507,0,75.5063,36.7116,43.5695,0.487851,0,-1.01109,0.293057,-1.35816,5.70341,126.95,196.459,196.459,0.900242,3.03725,2.6416,1.29947,4,6.06e-09
1,1,44.1982,0,59.6878,52.146,42.7409,1.4232,0,0.967668,-0.193891,1.09919,7.43644,123.989,191.969,191.969,1.0978,2.58871,2.54831,2.02986,4,6.06e-09
1,1,64.2127,0,62.704,39.9574,53.2946,-0.72066,0,2.11961,0.504616,2.35528,5.85724,125.633,315.544,315.544,1.00253,4.17992,3.06669,0.0634132,4,6.06e-09
1,0,51.4275,0,50.4907,41.6505,33.0811,-1.45286,0,-0.731988,0.947983,0.160151,7.24346,121.922,212.006,212.006,0.862725,0.862725,0.473961,2.13637,4,6.06e-09
1,0,51.422,0,80.621,45.5074,38.2598,0.940503,0,-0.207707,-0.73584,-1.13636,4.42478,124.466,216.16,216.16,1.34542,3.26357,3.05492,0.788185,4,6.06e-09
2,2,75.9877,40.4125,110.573,59.2744,169.172,-0.0203473,-2.4165,0.45889,-0.959214,-0.0793934,174.598,125.585,271.424,451.6,2.65206,3.02083,2.98258,0.897687,4,6.06e-09
1,0,35.4055,0,51.2908,37.3218,33.2319,0.659466,0,0.0786818,1.91951,2.06207,6.78805,123.638,154.682,154.682,2.25586,2.07778,1.99496,1.62808,4,6.06e-09
1,0,33.6782,0,87.3897,34.9363,53.0371,-1.37664,0,1.74185,0.722017,2.32726,6.01588,124.944,307.652,307.652,1.37483,3.83077,2.22481,0.111067,4,6.06e-09
1,2,132.986,0,102.293,34.4381,92.1379,0.23895,0,-0.418802,0.836033,-0.128146,12.657,128.531,287.148,287.148,1.0054,3.04834,2.97653,1.49901,4,6.06e-09
1,1,35.1768,0,66.668,50.3258,39.8386,-1.17626,0,-0.286896,-1.23943,-1.64173,3.05281,124.024,165.468,165.468,1.59463,1.65137,1.39143,1.38485,4,6.06e-09
1,0,37.8997,0,69.7945,51,19.1841,-0.973004,0,1.35542,1.92492,3.43525,4.41701,124.134,280.587,280.587,2.06719,2.97014,1.84396,2.11573,4,6.06e-09
1,0,59.4556,0,66.2084,59.0746,31.8961,-1.38191,0,0.639727,0.278774,1.41803,6.65485,123.262,257.309,257.309,2.20599,2.20599,0.882811,0.381296,4,6.06e-09
1,1,62.1586,0,77.9045,38.6156,45.0171,1.9225,0,0.959144,2.068,2.36298,4.61061,125.077,201.441,201.441,2.09184,3.13778,2.98624,0.873665,4,6.06e-09
2,1,41.6513,34.9098,60.973,33.76,37.0186,2.5309,0.189483,1.40841,-0.274699,1.7905,127.482,122.264,217.576,276.653,1.53884,2.47987,2.21128,1.83702,4,6.06e-09
1,0,40.8936,0,72.2496,59.2382,51.7994,2.76115,0,0.813185,1.32598,1.89906,6.91551,125.524,227.697,227.697,1.03385,3.12274,2.44068,1.80227,4,6.06e-09
1,0,33.8145,0,71.2951,56.3676,26.8774,-2.80674,0,-0.617859,-0.624957,-1.86269,4.92665,124.802,232.681,232.681,0.75303,3.09153,2.1832,0.183865,4,6.06e-09
1,1,40.9611,0,80.656,44.8908,54.3731,-2.91213,0,-0.111254,-0.965427,-0.945059,5.41676,124.947,296.29,296.29,0.664914,3.9042,2.71991,2.90774,4,6.06e-09
1,0,107.647,0,90.6664,40.5361,55.656,0.280393,0,1.18472,1.65466,2.15355,8.81537,122.243,271.012,271.012,1.24575,3.14675,3.01401,2.62886,4,6.06e-09
1,0,34.2113,0,64.176,44.1376,33.0527,-0.998935,0,-0.316611,-1.45755,-1.92012,5.5577,121.426,159.316,159.316,1.86544,1.86544,1.73617,0.77381,4,6.06e-09
1,0,71.7864,0,75.8998,57.3312,45.8325,-0.0899078,0,0.859201,0.968718,1.82314,8.95343,125.308,227.783,227.783,0.886149,2.27113,2.0633,2.28018,4,6.06e-09
1,1,58.2607,0,60.3587,45.3648,19.6845,1.62878,0,-1.56693,-0.258485,-2.72939,7.83319,127.224,349.98,349.98,1.77929,4.18269,2.69859,2.74161,4,6.06e-09
1,3,46.2424,0,81.0302,45.3199,35.7593,-0.0991644,0,1.59345,2.24168,3.11459,6.8123,127.607,239.584,239.584,1.84349,1.84349,0.7304,2.00255,4,6.06e-09
1,1,45.7106,0,71.836,40.861,31.5798,-2.58507,0,-1.11403,-0.0272966,-1.8579,4.89865,124.598,229.359,229.359,0.524444,1.68388,0.819448,1.68481,4,6.06e-09
1,0,62.857,0,69.6175,64.3058,50.8449,-0.473836,0,-0.142454,-0.379164,-0.641842,7.32127,124.909,194.835,194.835,1.38394,1.38394,1.34368,1.39099,4,6.06e-09
1,0,81.9301,0,71.1844,27.7676,95.4142,-0.144367,0,0.934277,-1.28242,0.313525,6.40804,122.838,235.12,235.12,1.69008,2.9355,2.73015,1.03062,4,6.06e-09
1,0,53.4233,0,42.8545,33.6012,57.2325,-0.174544,0,0.752184,-1.68248,-0.81372,7.11147,127.471,192.759,192.759,1.69879,3.10409,2.96252,1.62286,4,6.06e-09
1,1,35.285,0,61.2011,47.1566,70.9665,-0.114812,0,0.191174,1.73988,1.44374,3.91637,122.989,181.088,181.088,1.76168,2.74671,2.72962,0.720149,4,6.06e-09
1,1,45.9139,0,68.5236,29.6558,38.8746,0.628264,0,0.518853,-1.14238,-0.117354,8.6776,123.087,178.297,178.297,0.910997,2.09915,2.09629,1.34749,4,6.06e-09
1,0,45.5827,0,79.6445,63.3324,69.1628,-2.87605,0,-1.61207,-1.44224,-2.23085,7.43254,125.717,217.72,217.72,2.01769,2.01769,1.57271,0.700795,4,6.06e-09
1,1,33.2104,0,88.585,44.1521,51.1292,1.21064,0,0.467667,0.0679449,0.80801,5.44717,125.053,167.992,167.992,1.13379,2.01341,1.87132,0.838468,4,6.06e-09
1,0,60.8056,0,87.2181,44.1288,47.1805,-0.477922,0,0.534549,1.01293,1.5104,4.36354,126.189,225.085,225.085,1.35683,2.84297,2.65658,0.106717,4,6.06e-09
1,3,102.245,0,79.11,69.8793,82.3552,-1.1118,0,-0.274729,0.0491285,-0.223663,7.03908,126.492,281.944,281.944,0.846764,2.13409,1.96307,1.49871,4,6.06e-09
1,0,54.1047,0,79.7201,52.3235,27.6956,1.88043,0,-1.36153,-1.21158,-2.79354,10.1123,129.47,439.28,439.28,1.55845,4.50082,3.12203,2.36375,4,6.06e-09
1,2,35.3748,0,115.968,38.1875,93.4621,-0.427533,0,-0.694288,-0.86678,-1.09815,4.396,123.129,174.522,174.522,0.872785,1.8887,1.86977,2.17388,4,6.06e-09
1,0,33.9887,0,59.8359,59.3285,4.03715,-0.718078,0,0.242816,-0.189814,0.754461,6.50825,121.896,161.173,161.173,0.841211,2.33314,2.12609,1.32068,4,6.06e-09
1,0,46.8545,0,47.4232,41.3086,68.5648,0.536089,0,-1.03209,1.08474,-0.0580302,5.3882,125.535,194.458,194.458,2.58984,2.83536,2.36222,0.0130823,4,6.06e-09
1,1,80.1439,0,71.4671,68.3441,139.632,2.46299,0,0.371589,2.02868,1.45403,20.9729,129.717,301.396,301.396,1.21336,3.04049,2.20695,1.05189,4,6.06e-09
